Shkodër		B-VEND_0
,		O
nga		O
psikologe		O
në		O
stiliste		O
,		O
historia		O
e		O
Melisës		B-PER
që		O
hapi		O
biznesin		O
e		O
saj		O
falë		O
programeve		O
të		O
vetëpunësimit		O
Ka		O
përfunduar		O
studimet		O
për		O
psikologji		O
,		O
por		O
pasioni		O
i		O
Melisës		B-PER
mbetet		O
stilimi		O
dhe		O
tendencat		O
e		O
modës		O
.		O
Ndaj		O
,		O
ajo		O
zgjodhi		O
të		O
ndjekë		O
një		O
kurs		O
stilimi		O
,		O
duke		O
marrë		O
më		O
shumë		O
njohuri		O
.		O
E		O
vetëpunësuar		O
,		O
Melisa		B-PER
hapi		O
dyqanin		O
e		O
saj		O
të		O
veshjeve		O
me		O
qira		O
,		O
për		O
të		O
cilin		O
shikon		O
të		O
ardhmen		O
në		O
botën		O
e		O
biznesit		O
.		O
Melisa		B-PER
ka		O
një		O
mesazh		O
,		O
veçanërisht		O
për		O
të		O
rinjtë		O
,		O
të		O
cilët		O
emigrimin		O
e		O
shohin		O
si		O
zgjidhje		O
të		O
së		O
ardhmes		O
së		O
tyre		O
.		O
Melisa		B-PER
është		O
pjesë		O
e		O
një		O
grupi		O
prej		O
35		O
përfituesish		O
,		O
të		O
cilët		O
vitin		O
që		O
kaloi		O
përfituan		O
grantin		O
prej		O
500		O
.		O
000		O
lekësh		O
për		O
hapje		O
e		O
biznesi		O
.		O
Ajo		O
ka		O
plane		O
afatgjate		O
dhe		O
shprehet		O
se		O
veshjet		O
e		O
saj		O
do		O
t'i		O
stilojë		O
vetë		O
,		O
në		O
mënyre		O
që		O
të		O
plotësojë		O
kërkesat		O
e		O
vajzave		O
shkodrane		O
.		O
