03		B-DATE_0
/		I-DATE_0
07		I-DATE_0
/		I-DATE_0
2022		I-DATE_0
Numri		O
i		O
infarkteve		O
kardiake		O
ka		O
pësuar		O
rritje		O
në		O
vendin		O
tonë		O
.		O
Sipas		O
mjekeve		O
kjo		O
jo		O
aq		O
për		O
faktin		O
e		O
temperaturave		O
të		O
larta		O
sa		O
për		O
shkak		O
të		O
dëmtimit		O
sistematik		O
të		O
stilit		O
të		O
të		O
jetuarit		O
,		O
të		O
yndyrave		O
dhe		O
diabetit		O
të		O
patrajtuar		O
si		O
dhe		O
mungesës		O
se		O
lëvizshmërisë		O
.		O
Profesor		O
Artan		B-PER
Goda		I-PER
thotë		O
se		O
sëmundjet		O
e		O
zemrës		O
kanë		O
rritur		O
numrin		O
e		O
personave		O
që		O
vuajnë		O
nga		O
insuficienca		O
kardiake		O
.		O
Në		O
Shqipëri		B-VEND_1
janë		O
afërsisht		O
140		O
mijë		O
shqiptarë		O
që		O
vuajnë		O
nga		O
sindromi		O
i		O
insuficiencës		O
kardiake		O
.		O
Çdo		O
vit		O
shtohen		O
rreth		O
3.360		O
raste		O
.		O
