17		B-DATE_0
/		I-DATE_0
04		I-DATE_0
/		I-DATE_0
2022		I-DATE_0
Me		O
anë		O
të		O
një		O
fotoje		O
të		O
postuar		O
në		O
Facebook		O
Kryeministri		O
Edi		B-PER
Rama		I-PER
ka		O
uruar		O
besimtarët		O
katolikë		O
të		O
cilët		O
festojnë		O
sot		O
Pashkët		O
.		O
"		O
Mirëmëngjesi		O
!		O
Gëzuar		O
Pashkët		O
Katolike		O
"		O
,		O
shkruan		O
Rama		B-PER
.		O
Presidenti		O
Ilir		B-PER
Meta		I-PER
shkruan		O
ne		O
rrjetin		O
social		O
se		O
"		O
festa		O
frymëzuese		O
e		O
Pashkës		O
na		O
fton		O
për		O
të		O
mos		O
harruar		O
sakrificat		O
e		O
Krishtit		O
për		O
ne		O
,		O
për		O
të		O
dëshmuar		O
me		O
vepra		O
shembullin		O
e		O
jetës		O
së		O
Tij		O
,		O
çdo		O
ditë		O
,		O
duke		O
qenë		O
në		O
shërbim		O
dhe		O
me		O
përulësi		O
pranë		O
njerëzve		O
në		O
nevojë		O
dhe		O
për		O
të		O
mbajtur		O
pranë		O
zemrave		O
tona		O
këdo		O
që		O
vuan		O
.		O
Le		O
të		O
shërbejë		O
ky		O
shembull		O
për		O
të		O
gjithë		O
ne		O
"		O
shkruan		O
presidenti		O
.		O
Urimi		O
për		O
Pashkët		O
vjen		O
edhe		O
nga		O
ish		O
Kryetari		O
i		O
Partisë		B-ORG
Demokratike		I-ORG
,		O
Lulzim		B-PER
Basha		I-PER
.		O
Në		O
një		O
postim		O
në		O
rrjete		O
sociale		O
Basha		B-PER
uron		O
besimtarët		O
që		O
kjo		O
ditë		O
e		O
shenjtë		O
,		O
simbol		O
i		O
ringjalljes		O
së		O
shpresës		O
,		O
të		O
ndriçojë		O
mendjet		O
dhe		O
forcojë		O
shpirtrat		O
me		O
besimin		O
se		O
do		O
të		O
kapërcejmë		O
sfidat		O
dhe		O
vështirësitë		O
e		O
shtuara		O
në		O
jetët		O
e		O
familjeve		O
shqiptare		O
,		O
për		O
të		O
ndërtuar		O
së		O
bashku		O
një		O
të		O
ardhme		O
më		O
të		O
begatë		O
.		O
"		O
Të		O
nderuar		O
besimtarë		O
që		O
kremtoni		O
sot		O
Ringjalljen		O
e		O
Krishtit		O
,		O
ju		O
uroj		O
nga		O
zemra		O
Gëzuar		O
Pashkët		O
!		O
Kjo		O
ditë		O
e		O
shenjtë		O
,		O
simbol		O
i		O
ringjalljes		O
së		O
shpresës		O
,		O
uroj		O
të		O
ndriçojë		O
mendjet		O
dhe		O
forcojë		O
shpirtrat		O
tuaj		O
me		O
besimin		O
se		O
do		O
të		O
kapërcejmë		O
sfidat		O
dhe		O
vështirësitë		O
e		O
shtuara		O
në		O
jetët		O
e		O
familjeve		O
shqiptare		O
,		O
për		O
të		O
ndërtuar		O
së		O
bashku		O
një		O
të		O
ardhme		O
më		O
të		O
begatë		O
.		O
Zoti		O
ju		O
bekoftë		O
ju		O
dhe		O
familjet		O
tuaja		O
!		O
Zoti		O
e		O
bekoftë		O
Shqipërinë		B-VEND_1
!		O
"		O
,		O
shkruan		O
Basha		B-PER
.		O
Ministrja		O
e		O
Jashtme		O
Olta		B-PER
Xhaçka		I-PER
ka		O
uruar		O
besimtarët		O
katolikë		O
për		O
festën		O
e		O
Pashkëve		O
.		O
"		O
Sot		O
më		O
shumë		O
se		O
kurrë		O
kemi		O
nevojë		O
për		O
shpresën		O
tek		O
e		O
ardhmja		O
që		O
simbolizon		O
kjo		O
ditë		O
e		O
shenjtë		O
"		O
,		O
shprehet		O
Xhaçka		B-PER
.		O
"		O
Gëzuar		O
Pashkët		O
katolike		O
!		O
Gëzuar		O
këtë		O
ditë		O
,		O
simbol		O
të		O
ringjalljes		O
!		O
Sot		O
më		O
shumë		O
se		O
kurrë		O
,		O
pas		O
dy		O
vitesh		O
të		O
vështira		O
e		O
në		O
një		O
botë		O
të		O
trazuar		O
,		O
kemi		O
nevojë		O
për		O
shpresën		O
tek		O
e		O
ardhmja		O
që		O
simbolizon		O
kjo		O
ditë		O
e		O
shenjtë		O
"		O
,		O
shkruan		O
Xhaçka		B-PER
.		O
Kryetari		O
i		O
bashkisë		O
së		O
Tiranës		B-VEND_0
,		O
Erion		B-PER
Veliaj		I-PER
,		O
ka		O
uruar		O
besimtarët		O
e		O
krishterë		O
për		O
festën		O
e		O
Pashkës		O
.		O
"		O
Në		O
një		O
ditë		O
të		O
bekuar		O
si		O
kjo		O
,		O
ju		O
uroj		O
pashkë		O
të		O
gëzuar		O
"		O
,		O
shprehet		O
Veliaj		B-PER
.		O
