01		B-DATE_0
/		I-DATE_0
06		I-DATE_0
/		I-DATE_0
2022		I-DATE_0
Dhuna		O
ndaj		O
fëmijëve		O
vijon		O
të		O
jetë		O
prezent		O
në		O
Shqipëri		B-VEND_1
,		O
por		O
pak		O
prej		O
qytetarëve		O
do		O
e		O
denonconin		O
atë		O
te		O
autoritetet		O
përkatëse		O
.		O
Ky		O
është		O
një		O
sondazh		O
që		O
u		O
publikua		O
këtë		O
të		B-DATE_1
mërkurë		I-DATE_1
nga		O
CRCA		O
në		O
Shqipëri		B-VEND_1
,		O
nga		O
ku		O
rezulton		O
se		O
pothuaj		O
60		O
%		O
e		O
të		O
anketuarve		O
mendojnë		O
se		O
është		O
e		O
pranueshme		O
goditja		O
e		O
fëmijës		O
.		O
