14		B-DATE_0
/		I-DATE_0
01		I-DATE_0
/		I-DATE_0
2022		I-DATE_0
Qarkullimi		O
i		O
dëndur		O
i		O
varianteve		O
të		O
virusit		O
Covid		O
19		O
si		O
dhe		O
virusi		O
i		O
gripit		O
sezonal		O
ka		O
shtuar		O
shumë		O
numrin		O
e		O
fëmijëve		O
të		O
infektuar		O
.		O
Prindërit		O
pak		O
nga		O
paniku		O
e		O
pak		O
nga		O
padija		O
nxitojnë		O
ti		O
vizitojnë		O
fëmijët		O
pranë		O
urgjencës		O
pediatrike		O
në		O
QSUT		O
,		O
ku		O
jo		O
në		O
pak		O
raste		O
janë		O
krijuar		O
rradhëpritje		O
të		O
gjata		O
.		O
Shefja		O
e		O
shërbimit		O
infektiv		O
,		O
në		O
këtë		O
spital		O
Gjerogjina		B-PER
Kuli		I-PER
konfirmon		O
rritjen		O
e		O
vizitave		O
ambulatore		O
si		O
gjatë		O
orëve		O
të		O
ditës		O
ashtu		O
edhe		O
të		O
natës		O
,		O
duke		O
spjeguar		O
se		O
nga		O
ana		O
epidemiologjike		O
kjo		O
nuk		O
është		O
mënyra		O
e		O
duhur		O
për		O
t'i		O
ardhur		O
në		O
ndihmë		O
fëmijës		O
.		O
Doktoresha		O
Blerta		B-PER
Berberi		I-PER
,		O
drejtuese		O
e		O
qendres		O
shëndetësorë		O
nr		O
8		O
në		O
Bllok		O
,		O
sqaron		O
prindërit		O
mbi		O
kushtet		O
e		O
shërbimit		O
që		O
ofrohet		O
për		O
fëmijët		O
.		O
Infektimet		O
me		O
COVID		O
në		O
moshat		O
pediatrike		O
sipas		O
Berberit		B-PER
kanë		O
prekur		O
më		O
shumë		O
grupmoshat		O
shkollore		O
12-16		O
vjec		O
,		O
por		O
simptomat		O
dhe		O
ecuria		O
e		O
sëmundshmërisë		O
ndiqet		O
nga		O
mjeku		O
pediatër		O
ambulatorisht		O
dhe		O
trajtimi		O
ka		O
rezultuar		O
rikuperues		O
në		O
pak		O
ditë		O
.		O
