21		B-DATE_0
/		I-DATE_0
04		I-DATE_0
/		I-DATE_0
2022		I-DATE_0
Mësuesit		O
kanë		O
përfunduar		O
se		O
përzgjedhuri		O
tekstet		O
shkollore		O
për		O
arsimin		O
parauniversitar		O
.		O
Komisionet		O
e		O
ngritura		O
në		O
shkolla		O
kanë		O
votuar		O
për		O
librat		O
njohuritë		O
e		O
të		O
cilave		O
përthithen		O
me		O
shpejt		O
nga		O
fëmijët		O
.		O
Drejtoresha		O
e		O
Arsimit		O
Parauniversitar		O
në		O
Ministrinë		B-ORG
e		I-ORG
Arsimit		I-ORG
,		O
Zamira		B-PER
Gjini		I-PER
sqaron		O
se		O
për		O
këtë		O
vit		O
janë		O
përzgjedhur		O
për		O
herë		O
të		O
parë		O
edhe		O
3		O
alternativat		O
e		O
librit		O
të		O
anglishtes		O
së		O
klasës		O
së		O
dytë		O
.		O
