21		B-DATE_0
/		I-DATE_0
12		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Dhjetëra		O
mijëra		O
përdorues		O
globalë		O
të		O
X		O
raportuan		O
probleme		O
duke		O
përdorur		O
të		O
enjten		O
rrjetin		O
social		O
në		O
pronësi		O
të		O
miliarderit		O
Elon		B-ORG
Musk		I-ORG
,		O
raportoi		O
faqja		O
e		O
monitorimit		O
Downdetector		O
,		O
njofton		O
ATSH		B-ORG
.		O
Platforma		O
po		O
kritikohet		O
gjithashtu		O
për		O
reagimin		O
e		O
saj		O
ndaj		O
trazirave		O
të		O
fundit		O
në		O
Dublin		B-VEND_0
.		O
