30		B-DATE_0
/		I-DATE_0
09		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Sot		O
gëzon		O
një		O
famë		O
ndërkombëtare		O
si		O
koreograf		O
,		O
por		O
për		O
shqiptarin		O
Angjelin		B-PER
Preljocaj		I-PER
rruga		O
për		O
t'u		O
bërë		O
balerin		O
nuk		O
ka		O
qenë		O
e		O
thjeshtë		O
.		O
Kur		O
prindërit		O
e		O
tij		O
morën		O
rrugën		O
e		O
emigrimit		O
,		O
ai		O
ishte		O
ende		O
në		O
barkun		O
e		O
nënës		O
dhe		O
lindi		O
dy		O
javë		O
më		O
pas		O
në		O
Francë		B-VEND_1
.		O
Për		O
t'u		O
bërë		O
balerin		O
,		O
atij		O
iu		O
desh		O
të		O
"		O
luftonte		O
"		O
me		O
kundërshtinë		O
e		O
prindërve		O
,		O
por		O
edhe		O
me		O
talljet		O
e		O
fëmijëve		O
sepse		O
vishte		O
geta		O
.		O
Por		O
,		O
siç		O
thekson		O
Angjelini		B-PER
,		O
mjedisi		O
kundërshtar		O
ta		O
përforcon		O
akoma		O
më		O
shumë		O
dëshirën		O
.		O
