02		B-DATE_0
/		I-DATE_0
10		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Por		O
sfida		O
kryesore		O
mbetet		O
ajo		O
e		O
afrimit		O
ose		O
më		O
mirë		O
rikthimit		O
të		O
brezit		O
të		O
ri		O
tek		O
libri		O
.		O
Një		O
sfidë		O
kjo		O
vërtet		O
e		O
madhe		O
,		O
pasi		O
teknologjia		O
ka		O
bërë		O
që		O
librat		O
të		O
mos		O
lexohen		O
si		O
20		O
apo		O
30		O
vite		O
më		O
parë		O
.		O
Ministrja		O
e		O
kulturës		O
Elva		B-PER
Margariti		I-PER
ftoi		O
pikërisht		O
brezin		O
e		O
ri		O
të		O
lexojë		O
më		O
shumë		O
.		O
"		O
Mbështesim		O
librin		O
në		O
të		O
gjitha		O
format		O
e		O
tij		O
.		O
Më		O
vjen		O
mirë		O
që		O
gjithmonë		O
e		O
më		O
tepër		O
të		O
rinj		O
,		O
edhe		O
pse		O
po		O
shikoja		O
me		O
habi		O
që		O
kemi		O
më		O
shume		O
vajza		O
sesa		O
djem		O
"		O
,		O
tha		O
Elva		B-PER
Margariti		I-PER
.		O
Edhe		O
drejtoresha		O
e		O
qendrës		O
kombëtare		O
të		O
librit		O
Alda		B-PER
Bardhyli		I-PER
dhe		O
drejtori		O
i		O
bibliotekës		O
Piro		B-PER
Misha		I-PER
ju		O
bashkuan		O
thirrjes		O
së		O
ministres		O
Margariti		B-PER
.		O
"		O
Kemi		O
kaq		O
shumë		O
të		O
rinj		O
që		O
janë		O
përfshirë		O
jo		O
vetëm		O
në		O
aktivitetet		O
tona		O
por		O
edhe		O
programet		O
që		O
qendra		O
ka		O
.		O
Sa		O
më		O
shumë		O
të		O
flasim		O
për		O
librin		O
,		O
sa		O
më		O
shumë		O
të		O
flasim		O
për		O
vlerat		O
e		O
leximit		O
aq		O
më		O
bukur		O
është		O
ajo		O
që		O
na		O
pret		O
"		O
,		O
tha		O
drejtoresha		O
e		O
qendrës		O
kombëtare		O
të		O
librit		O
Alda		B-PER
Bardhyli		I-PER
.		O
"		O
Sfida		O
jone		O
kryesore		O
eshte		O
te		O
tërheqim		O
te		O
rinjtë		O
si		O
ju		O
sepse		O
kjo		O
eshte		O
dhe		O
sfida		O
me		O
e		O
madhe		O
edhe		O
kur		O
flasim		O
për		O
kulturën		O
e		O
leximit		O
dhe		O
të		O
librit		O
"		O
,		O
tha		O
drejtori		O
i		O
bibliotekës		O
Piro		B-PER
Misha		I-PER
Gazetare		O
Xh		B-PER
.		O
Leka		I-PER
