02		B-DATE_0
/		I-DATE_0
07		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Klara		B-PER
Hasuka		I-PER
është		O
nxënëse		O
e		O
klasës		O
së		O
6		O
-		O
të		O
në		O
shkollën		O
"		O
Beslidhja		O
e		O
Malësisë		O
"		O
në		O
Tropojë		B-VEND_0
.		O
Prej		O
1		O
viti		O
ajo		O
ka		O
mësuar		O
të		O
luaj		O
në		O
lahutë		O
nga		O
kompozitori		O
Skënder		B-PER
Doshlani		I-PER
dhe		O
është		O
ngjitur		O
në		O
skenën		O
e		O
Festivalit		O
Folklorik		O
Kombëtar		O
.		O
Vajza		O
nga		O
Markajt		O
e		O
Tropojës		B-VEND_0
thotë		O
se		O
rrugën		O
e		O
artit		O
sapo		O
e		O
ka		O
nisur		O
dhe		O
do		O
ta		O
vazhdojë		O
gjatë		O
gjithë		O
jetës		O
së		O
saj		O
.		O
Sot		O
lahuta		O
e		O
admiruar		O
dhe		O
e		O
lakmuar		O
prej		O
fqinjve		O
,		O
por		O
më		O
së		O
shumti		O
një		O
traditë		O
kombëtare		O
dhe		O
një		O
visar		O
i		O
çmuar		O
po		O
trashëgohet		O
ndër		O
breza		O
,		O
bashkë		O
me		O
historitë		O
e		O
saj		O
epike		O
,		O
të		O
një		O
eposi		O
si		O
ai		O
i		O
Kreshnikëve		O
me		O
Mujin		B-PER
dhe		O
Halilin		B-PER
apo		O
Ajkunën		B-PER
dhe		O
Omerin		B-PER
.		O
Gazetar		O
:		O
L.Koçiu		B-PER
