26		B-DATE_0
/		I-DATE_0
07		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Muzikë		O
,		O
buzëqeshje		O
dhe		O
entuziazëm		O
.		O
Në		O
këtë		O
mënyrë		O
u		O
përcoll		O
edicioni		O
i		O
tretë		O
i		O
"		O
Country		O
Fest		O
"		O
në		O
Lezhë		B-VEND_0
,		O
një		O
event		O
muzikor		O
me		O
protagonist		O
fëmijet		O
.		O
Country		O
Fest		O
sjell		O
atmosferën		O
e		O
fshatit		O
në		O
qytet		O
,		O
ndaj		O
dhe		O
fëmijët		O
duhet		O
të		O
duan		O
sa		O
më		O
shumë		O
fshatin		O
,		O
thotë		O
përgjegjësia		O
e		O
Qendrës		O
Kulturore		O
Gjergj		B-PER
Lacaj		I-PER
në		O
Lezhë		B-VEND_0
,		O
Mimoza		B-PER
Xhafa		I-PER
.		O
Gazetar		O
Norel		B-PER
Zaimi		I-PER
