13		B-DATE_0
/		I-DATE_0
03		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Regjisorët		O
e		O
filmit		O
më		O
të		O
mirë		O
të		O
shkurtër		O
,		O
"		O
An		O
Irish		O
Goodbye		O
"		O
,		O
përdorën		O
fjalimin		O
e		O
tyre		O
për		O
të		O
kënduar		O
një		O
interpretim		O
të		O
Happy		O
Birthday		O
(		O
gëzuar		O
ditëlindjen		O
)		O
për		O
një		O
nga		O
yjet		O
e		O
filmit		O
,		O
James		B-PER
Martin		I-PER
.		O
Pasi		O
falënderoi		O
,		O
regjisori		O
Ross		B-PER
White		I-PER
tha		O
:		O
"		O
Ky		O
çmim		O
është		O
në		O
fakt		O
gjëja		O
e		O
dytë		O
më		O
e		O
rëndësishme		O
për		O
sot		O
,		O
sepse		O
është		O
ditëlindja		O
e		O
këtij		O
njeriu		O
"		O
,		O
tha		O
regjisori		O
Ross		B-PER
White		I-PER
,		O
duke		O
iu		O
referuar		O
Martinit		B-PER
.		O
"		O
Ne		O
do		O
të		O
donim		O
të		O
përdorim		O
pjesën		O
tjetër		O
të		O
kohës		O
sonë		O
këtu		O
për		O
të		O
kënduar		O
për		O
James		B-PER
,		O
"		O
shtoi		O
ai		O
,		O
ndërsa		O
Martin		B-PER
mori		O
çmimin		O
Oscar		O
.		O
Elizabeth		B-PER
Banks		I-PER
prezantoi		O
çmimin		O
për		O
efektet		O
më		O
të		O
mira		O
vizuale		O
.		O
Jimmy		B-PER
Kimmel		I-PER
i		O
drejtohet		O
The		O
Slap		O
(		O
shuplaka		O
)		O
...		O
.dhe		O
sjell		O
një		O
gomar		O
në		O
skenë		O
Prezantuesi		O
i		O
Talk		O
Show-t		O
,		O
Jimmy		B-PER
Kimmel		I-PER
u		O
kthye		O
për		O
të		O
organizuar		O
ceremoninë		O
e		O
tij		O
të		O
tretë		O
të		O
çmimeve		O
Oscar		O
.		O
Ai		O
iu		O
drejtua		O
polemikës		O
së		O
Oscars		O
të		O
vitit		O
të		O
kaluar		O
,		O
kur		O
Will		B-PER
Smith		I-PER
goditi		O
Chris		B-PER
Rock		I-PER
në		O
skenë		O
.		O
