18		B-DATE_0
/		I-DATE_0
06		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Pas		O
përfundimit		O
të		O
audicioneve		O
dhe		O
përzgjedhjes		O
së		O
25		O
vajzave		O
finaliste		O
të		O
Miss		O
Shqipëria		O
2023		O
,		O
produksioni		O
i		O
eventit		O
më		O
të		O
madh		O
të		O
bukurisë		O
shqiptare		O
përmbyll		O
këtë		O
të		B-DATE_1
dielë		I-DATE_1
,		O
setin		O
fotografik		O
me		O
vajzat		O
e		O
përzgjedhura		O
të		O
edicionit		O
të		O
këtij		O
viti		O
.		O
Seti		O
fotografik		O
,		O
i		O
cili		O
këtë		O
vit		O
i		O
është		O
besuar		O
fotografit		O
Artemis		B-PER
Hajdini		I-PER
,		O
ka		O
për		O
qëllim		O
që		O
secila		O
vajzë		O
të		O
ketë		O
foton		O
e		O
saj		O
zyrtare		O
,		O
me		O
të		O
cilën		O
do		O
të		O
votohen		O
në		O
websiten		O
zyrtar		O
të		O
Miss		O
Shqipëria		O
,		O
përmes		O
të		O
cilit		O
do		O
të		O
shpallet		O
edhe		O
çmimi		O
i		O
Publikut		O
në		O
natën		O
finale		O
.		O
Si		O
kuratore		O
e		O
imazhit		O
të		O
Miss		O
Shqipërisë		O
prej		O
shumë		O
vitesh		O
,		O
Mirela		B-PER
Baçi		I-PER
vlerëson		O
tiparin		O
e		O
origjinalitetit		O
,		O
që		O
kanë		O
imazhet		O
e		O
vajzave		O
të		O
këtij		O
edicioni		O
jubilar		O
.		O
Pas		O
përfundimit		O
të		O
setit		O
3		O
ditor		O
,		O
vajzat		O
po		O
përgatiten		O
për		O
turin		O
e		O
Miss		O
Shqipërisë		O
,		O
i		O
cili		O
do		O
të		O
mbahet		O
në		O
të		O
gjitha		O
monumentet		O
kulturore		O
nga		O
Veriu		O
në		O
Jug		O
,		O
për		O
t'u		O
kthyer		O
në		O
Shqipërinë		B-VEND_1
e		O
Mesme		O
,		O
një		O
rrugëtim		O
nostalgjik		O
në		O
të		O
gjitha		O
vendet		O
në		O
të		O
cilat		O
Miss		O
Shqipëria		O
ka		O
zhvilluar		O
turin		O
e		O
saj		O
këto		O
25		O
vite		O
.		O
Gazetare		O
:		O
Ornela		B-PER
Ceka		I-PER
