12		B-DATE_0
/		I-DATE_0
07		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
"		O
Enciklopedia		O
shqiptare		O
"		O
,		O
vepra		O
madhore		O
shqiptare		O
,		O
për		O
të		O
cilën		O
janë		O
angazhuar		O
dy		O
Akademitë		O
e		O
Shkencave		O
respektive		O
,		O
ajo		O
e		O
Shqipërisë		B-VEND_1
dhe		O
e		O
Kosovës		B-VEND_1
,		O
do		O
të		O
nisë		O
punën		O
konkrete		O
në		O
Shtator		O
.		O
Në		O
mbledhjen		O
e		O
sotme		O
të		O
Redaksisë		O
Qendrore		O
të		O
Enciklopedisë		O
Shqiptare		O
,		O
u		O
miratuan		O
aktet		O
përfundimtare		O
që		O
i		O
hapin		O
rrugën		O
hartimit		O
të		O
këtij		O
projekti		O
madhor		O
që		O
bën		O
bashkë		O
Shqipërinë		B-VEND_1
dhe		O
Kosovën		B-VEND_1
,		O
por		O
edhe		O
një		O
sërë		O
studiuesish		O
nga		O
Maqedonia		B-VEND_1
e		I-VEND_1
Veriut		I-VEND_1
,		O
Mali		B-VEND_1
i		I-VEND_1
Zi		I-VEND_1
dhe		O
Diaspora		O
.		O
Koha		O
e		O
projektuar		O
si		O
fillim		O
për		O
të		O
përfunduar		O
këtë		O
vepër		O
madhore		O
ka		O
qenë		O
5		O
vite		O
,		O
por		O
Kraja		B-PER
shprehet		O
se		O
mund		O
të		O
zgjasë		O
edhe		O
më		O
shumë		O
.		O
Gazetare		O
Ornela		B-PER
Ceka		I-PER
