27		B-DATE_0
/		I-DATE_0
12		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
"		O
Princesha		O
dhe		O
Larva		O
"		O
është		O
libri		O
më		O
i		O
ri		O
për		O
fëmijë		O
i		O
autores		O
Mimoza		B-PER
Agastra		I-PER
e		O
cila		O
ka		O
sjell		O
mjeshtërisht		O
10		O
përralla		O
që		O
përcjellin		O
imagjinate		O
por		O
dhe		O
mesazhe		O
filozofike		O
për		O
fëmijët		O
.		O
Libri		O
me		O
i		O
ri		O
për		O
fëmijë		O
"		O
Princesha		O
dhe		O
larva		O
"		O
i		O
autores		O
Mimoza		B-PER
Agastra		I-PER
vjen		O
përballe		O
lexuesit		O
te		O
vogël		O
duke		O
sjellë		O
fantazi		O
dhe		O
kreativitet		O
.		O
Autorja		O
rrëfen		O
për		O
frymëzimin		O
që		O
pati		O
për		O
të		O
shkruar		O
këtë		O
libër		O
dhe		O
tregon		O
se		O
i		O
ktheu		O
një		O
borxh		O
fëmijërisë		O
së		O
saj		O
të		O
hershme		O
.		O
RTSH		B-ORG
