11		B-DATE_0
/		I-DATE_0
05		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Projekti		O
për		O
Restaurimin		O
dhe		O
Përforcimin		O
e		O
Kalasë		O
së		O
Prezës		O
është		O
përzgjedhur		O
si		O
fitues		O
i		O
Çmimit		O
të		O
Arkitekturës		O
BIG		O
SEE		O
,		O
në		O
kategorinë		O
e		O
Ndërtesave		O
Publike		O
,		O
njoftoi		O
CHwB		B-ORG
Albania		I-ORG
(		O
Trashëgimia		B-ORG
Kulturore		I-ORG
pa		I-ORG
kufij		I-ORG
–		I-ORG
Shqipëri		I-ORG
)		O
,		O
hartuese		O
e		O
këtij		O
projketi		O
.		O
"		O
I		O
jemi		O
shumë		O
mirënjohës		O
ekipit		O
tonë		O
të		O
arkitektëve		O
dhe		O
partnerëve		O
tanë		O
që		O
e		O
kanë		O
bërë		O
të		O
mundur		O
këtë		O
projekt		O
"		O
,		O
shkruan		O
CHwB		B-ORG
Albania		I-ORG
,		O
organizatë		O
joqeveritare		O
e		O
përkushtuar		O
ndaj		O
shpëtimit		O
e		O
mbrojtjes		O
së		O
trashëgimisë		O
kulturore		O
materiale		O
dhe		O
jomateriale		O
,		O
të		O
prekur		O
nga		O
konfliktet		O
,		O
fatkeqësitë		O
apo		O
edhe		O
neglizhenca		O
.		O
"		O
Falënderojmë		O
ekipin		O
e		O
BIG		O
SEE		O
për		O
vlerësimin		O
pozitiv		O
të		O
projektit		O
tonë		O
"		O
,		O
shkruhet		O
në		O
njoftimin		O
e		O
ndarë		O
nga		O
CHwB		B-ORG
Albania		I-ORG
,		O
në		O
rrjetet		O
sociale		O
.		O
