27		B-DATE_0
/		I-DATE_0
01		I-DATE_0
/		I-DATE_0
2024		I-DATE_0
Prej		O
4		O
vitesh		O
shtëpia		O
ku		O
ka		O
jetuar		O
një		O
nga		O
shkrimtarët		O
më		O
të		O
njohur		O
shqiptar		O
,		O
Ismail		B-PER
Kadare		I-PER
është		O
shndërruar		O
në		O
një		O
muze		O
të		O
veçantë		O
,		O
që		O
ka		O
pritur		O
shumë		O
vizitorë		O
,		O
të		O
cilët		O
kanë		O
gjetur		O
këtu		O
që		O
nga		O
sendet		O
personale		O
e		O
deri		O
tek		O
dorëshkrimet		O
e		O
shkrimtarit		O
.		O
E		O
vendosur		O
në		O
katin		O
e		O
tretë		O
të		O
një		O
pallati		O
në		O
Rrugën		B-RRUGE
e		I-RRUGE
Dibrës		I-RRUGE
projektuar		O
nga		O
arkitekti		O
Maks		B-PER
Velo		I-PER
,		O
apartamenti		O
ruan		O
strukturën		O
e		O
tij		O
origjinale		O
,		O
duke		O
i		O
lejuar		O
vizitorët		O
të		O
projektojnë		O
Kadarenë		B-PER
në		O
momentet		O
e		O
krijimtarisë		O
artistike		O
.		O
Vepra		O
e		O
Kadaresë		B-PER
është		O
përkthyer		O
në		O
45		O
gjuhë		O
të		O
botës		O
,		O
kur		O
rekordin		O
e		O
shënon		O
romani		O
"		O
Gjenerali		O
i		O
Ushtrisë		O
së		O
Vdekur		O
"		O
,		O
vizitorët		O
mund		O
të		O
gjejnë		O
në		O
këtë		O
muze		O
edhe		O
shkrime		O
të		O
pabotuara		O
.		O
Ndërkohë		O
të		O
dielën		O
është		O
88		O
vjetori		O
i		O
lindjes		O
së		O
shkrimtarit		O
dhe		O
në		O
studion		O
Kadare		O
do		O
të		O
mbahen		O
aktivitete		O
të		O
ndryshme		O
artistike		O
.		O
Të		O
dielën		O
në		O
studio		O
Kadare		O
,		O
hyrja		O
do		O
të		O
jetë		O
e		O
lirë		O
për		O
të		O
gjithë		O
vizitorët		O
.		O
