07		B-DATE_0
/		I-DATE_0
12		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Konkursi		O
"		O
Çesk		O
Zadeja		O
"		O
-		O
Ndahen		O
çmimet		O
e		O
edicionit		O
të		O
dytë		O
të		O
kompozitorëve		O
të		O
rinj		O
Në		O
kuadër		O
të		O
70-vjetorit		O
të		O
krijimit		O
të		O
Teatrit		O
të		O
Operas		O
dhe		O
Baletit		O
është		O
zhvilluar		O
ceremonia		O
e		O
ndarjes		O
së		O
çmimeve		O
"		O
Çesk		O
Zadeja		O
"		O
për		O
kompozitoret		O
e		O
rinj		O
.		O
Ky		O
është		O
edicioni		O
i		O
dyte		O
i		O
këtij		O
konkursi		O
që		O
mban		O
emrin		O
e		O
kompozitorit		O
të		O
madh		O
Çesk		B-PER
Zadeja		I-PER
.		O
Kryetari		O
jurisë		O
,		O
Vaso		B-PER
Tole		I-PER
foli		O
për		O
rëndësinë		O
e		O
këtyre		O
konkurseve		O
për		O
të		O
mbështetur		O
kompozitorët		O
e		O
rinj		O
.		O
Çmimin		O
e		O
tretë		O
i		O
këtij		O
edicioni		O
iu		O
dha		O
kompozitores		O
nga		O
Kosova		B-VEND_1
,		O
Fjolla		B-PER
Gashi		I-PER
çmimi		O
i		O
dytë		O
shkoi		O
për		O
kompozitorin		O
Edmir		B-PER
Zaganjori		I-PER
dhe		O
çmimi		O
i		O
parë		O
Cesk		B-PER
Zadeja		I-PER
shkoi		O
për		O
kompozitorin		O
Kristo		B-PER
Piqoli		I-PER
.		O
Veprat		O
e		O
Fituesve		O
të		O
çmimeve		O
të		O
këtij		O
edicioni		O
do		O
të		O
luhen		O
nga		O
Orkestra		O
e		O
Teatrit		O
të		O
Operas		O
dhe		O
Baletit		O
.		O
