08		B-DATE_0
/		I-DATE_0
12		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Tradita		O
e		O
lashtë		O
e		O
shtegëtimit		O
të		O
bagëtive		O
në		O
Shqipëri		B-VEND_1
,		O
e		O
njohur		O
si		O
Transumanca		O
,		O
është		O
bërë		O
pjesë		O
e		O
trashgimisë		O
kulturore		O
të		O
UNESCO-s		O
.		O
Kjo		O
traditë		O
shekullore		O
që		O
njihet		O
edhe		O
në		O
vende		O
të		O
tjera		O
shoqërohet		O
me		O
këngë		O
pastorale		O
,		O
veshje		O
,		O
kulinari		O
të		O
cilat		O
vijnë		O
deri		O
në		O
ditët		O
e		O
sotme		O
.		O
I		O
ftuar		O
në		O
"		O
Jetë		O
Shqiptare		O
"		O
studiuesi		O
Auron		B-PER
Tare		I-PER
anëtar		O
i		O
Këshillit		O
Shkencor		O
të		O
UNESCO-s		O
tha		O
se		O
ky		O
është		O
një		O
vlerësim		O
për		O
trashëgiminë		O
kulturore		O
shqiptare		O
.		O
"		O
Transumanca		O
është		O
një		O
nga		O
lëvizjet		O
më		O
të		O
hershme		O
të		O
njeriut		O
,		O
por		O
është		O
vlerësuar		O
më		O
së		O
shumti		O
nga		O
të		O
huajt		O
dhe		O
jo		O
nga		O
studiuesit		O
shqiptarë		O
"		O
tha		O
zoti		O
Tare		B-PER
.		O
Ai		O
kujtoi		O
se		O
disa		O
vite		O
më		O
parë		O
një		O
grup		O
ekspertësh		O
italianë		O
e		O
morën		O
konceptin		O
e		O
Transumancës		O
me		O
mjaftë		O
interes		O
dhe		O
e		O
zhvilluan		O
këtë		O
ritual		O
në		O
kohët		O
moderne		O
dhe		O
ta		O
asocionim		O
në		O
pjesën		O
turistike		O
të		O
Shqipërisë		B-VEND_1
.		O
Zoti		O
Tare		B-PER
solli		O
si		O
shembull		O
zonën		O
turistike		O
të		O
Kurveleshit		O
,		O
si		O
një		O
zonë		O
malore		O
që		O
lidhet		O
edhe		O
me		O
bregdetin		O
,		O
ku		O
sinergjia		O
turistike		O
midis		O
malit		O
dhe		O
detit		O
është		O
prezente		O
.		O
Njohjen		O
e		O
Transumancës		O
si		O
pjesë		O
e		O
trashgimisë		O
kulturore		O
të		O
UNESCO-s		O
,		O
zoti		O
Tare		O
e		O
vlerëson		O
si		O
një		O
detyrim		O
për		O
autoritet		O
shqiptare		O
për		O
ta		O
ruajtur		O
këtë		O
trashëgimi		O
.		O
"		O
UNESCO		O
na		O
dha		O
një		O
ombrellë		O
.		O
Është		O
detyra		O
jonë		O
si		O
ta		O
ruajmë		O
"		O
tha		O
në		O
"		O
Jetë		O
Shqiptare		O
"		O
studiuesi		O
Auron		B-PER
Tare		I-PER
anëtar		O
i		O
Këshillit		O
Shkencor		O
të		O
UNESCO-s		O
.		O
Ai		O
shprehu		O
keqardhjen		O
që		O
në		O
jugun		O
e		O
Shqipërisë		B-VEND_1
po		O
shuhen		O
stanet		O
e		O
bagëtive		O
dhe		O
bëri		O
thirrje		O
për		O
shtimin		O
e		O
vëmendjes		O
nga		O
ana		O
e		O
autoriteteve		O
.		O
Zoti		O
kujtoi		O
se		O
një		O
traditë		O
e		O
ngjashme		O
ruhet		O
edhe		O
nga		O
arbëreshët		O
në		O
Itali		B-VEND_1
.		O
