GJERMANI		B-VEND_1
–		O
Polemika		O
mbi		O
planet		O
për		O
të		O
kufizuar		O
pagesat		O
e		O
papunësisë		O
BERLIN		B-VEND_0
,		O
30		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-DPA		O
/		O
Propozimet		O
për		O
të		O
shkurtuar		O
pagesat		O
e		O
sigurimeve		O
shoqërore		O
,		O
të		O
njohura		O
si		O
"Bürgergeld"		O
për		O
gjermanët		O
që		O
refuzojnë		O
të		O
pranojnë		O
punën		O
,		O
shkaktuan		O
polemika		O
në		O
Berlin		B-VEND_0
.		O
Ministri		O
i		O
Punës		O
,		O
Hubertus		B-PER
Heil		I-PER
i		O
Socialdemokratëve		O
(		O
SPD		O
)		O
,		O
partia		O
dominuese		O
në		O
koalicionin		O
qeverisës		O
me		O
tre		O
parti		O
,		O
ka		O
propozuar		O
rritjen		O
e		O
sanksioneve		O
ndaj		O
personave		O
që		O
refuzojnë		O
vazhdimisht		O
ofertat		O
e		O
punës		O
.		O
"		O
Në		O
të		O
ardhmen		O
,		O
ata		O
duhet		O
të		O
marrin		O
vetëm		O
kompensime		O
për		O
strehim		O
dhe		O
ngrohje		O
,		O
në		O
mënyrë		O
që		O
të		O
mos		O
mbeten		O
të		O
pastrehë		O
"		O
,		O
tha		O
Heil		B-PER
.		O
Ndërsa		O
kabineti		O
nuk		O
ka		O
marrë		O
një		O
vendim		O
përfundimtar		O
,		O
ministri		O
i		O
Financave		O
Christian		B-PER
Lindner		I-PER
,		O
kreu		O
i		O
FDP		B-ORG
,		O
ka		O
dhënë		O
mbështetjen		O
e		O
tij		O
.		O
