TIRANË		B-VEND_0
,		O
23		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Fëmijët		O
me		O
aftësi		O
të		O
veçanta		O
në		O
Institutin		O
e		O
Nxënësve		O
që		O
nuk		O
Dëgjojnë		O
kaluan		O
sot		O
një		O
ditë		O
të		O
veçantë		O
pasi		O
u		O
vizituan		O
nga		O
kampionët		O
,		O
Luiza		B-PER
Gega		I-PER
,		O
Erkand		B-PER
Qerimaj		I-PER
,		O
Juirdo		B-PER
Cani		I-PER
,		O
Briken		B-PER
Calja		I-PER
,		O
Indrit		B-PER
Çullhaj		I-PER
,		O
Izmir		B-PER
Smajlaj		I-PER
.		O
Kryeministri		O
Edi		B-PER
Rama		I-PER
ndau		O
sot		O
çastet		O
festive		O
të		O
fëmijëve		O
,		O
teksa		O
ata		O
iu		O
gëzuan		O
edhe		O
dhuratave		O
.		O
"		O
Super		O
kampionët		O
në		O
sport		O
e		O
në		O
jetë		O
,		O
Luiza		B-PER
Gega		I-PER
,		O
Erkand		B-PER
Qerimaj		I-PER
,		O
Juirdo		B-PER
Cani		I-PER
,		O
Briken		B-PER
Calja		I-PER
,		O
Indrit		B-PER
Çullhaj		I-PER
,		O
Izmir		B-PER
Smajlaj		I-PER
,		O
bashkë		O
me		O
Endrin		B-PER
,		O
Gjergjin		B-PER
,		O
Albanin		B-PER
dhe		O
Deborah		B-PER
,		O
festuam		O
me		O
fëmijët		O
me		O
aftësi		O
të		O
veçanta		O
në		O
Institutin		O
e		O
Nxënësve		O
që		O
nuk		O
Dëgjojnë		O
,		O
në		O
një		O
atmosferë		O
magjike		O
e		O
me		O
plot		O
dhuarata		O
"		O
,		O
u		O
shpreh		O
Rama		B-PER
.		O
Ministrja		O
e		O
Arsimit		O
dhe		O
Sportit		O
Ogerta		B-PER
Manastirliu		I-PER
,		O
e		O
cila		O
shoqëroi		O
kampionët		O
në		O
këtë		O
vizitë		O
,		O
premtoi		O
se		O
MAS		B-ORG
do		O
të		O
bëjë		O
akoma		O
më		O
shumë		O
që		O
ky		O
institucion		O
të		O
transformohet		O
në		O
një		O
qendrer		O
që		O
ofron		O
më		O
shumë		O
aktivitete		O
sociale		O
,		O
kulturore		O
dhe		O
edukative		O
.		O
