TIRANË		B-VEND_0
,		O
27		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Një		O
mbrëmje		O
poetike		O
nën		O
titullin		O
"		O
Hir		O
Krishtlindjeje		O
"		O
mblodhi		O
artdashësit		O
,		O
ditën		O
e		O
djeshme		O
në		O
Muzeun		O
Historik		O
Kombëtar		O
.		O
Aktoret		O
e		O
mirënjohura		O
Yllka		B-PER
Mujo		I-PER
e		O
Luiza		B-PER
Xhuvani		I-PER
interpretuan		O
vargje		O
nga		O
Nënë		B-PER
Tereza		I-PER
,		O
Ilirjan		B-PER
Zhupa		I-PER
e		O
Zhak		B-PER
Prever		I-PER
.		O
"		O
Aktoret		O
tona		O
të		O
çmuara		O
Yllka		B-PER
Mujo		I-PER
e		O
Luiza		O
Xhuvani		O
e		O
përfshinë		O
publikun		O
në		O
një		O
atmosferë		O
të		O
ngrohtë		O
dhe		O
intime		O
nën		O
hirin		O
e		O
Krishtlindjes		O
"		O
,		O
u		O
shpreh		O
Ministrja		O
e		O
Kulturës		O
,		O
Elva		B-PER
Margariti		I-PER
,		O
në		O
një		O
postim		O
online		O
.		O
Koncerti		O
"		O
Hir		O
Krishtlindjeje		O
"		O
,		O
u		O
zhvillua		O
në		O
pavijonin		O
e		O
ikonave		O
,		O
pranë		O
Muzeut		O
Historik		O
Kombëtar		O
,		O
me		O
mbështetjen		O
e		O
Ministrisë		B-ORG
së		I-ORG
Kulturës		I-ORG
.		O
