TIRANË		B-VEND_1
,		O
31		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Ministri		O
i		O
Brendshëm		O
Taulant		B-PER
Balla		I-PER
në		O
prag		O
të		O
festës		O
së		O
ndërrimit		O
të		O
viteve		O
i		O
ka		O
dhuruar		O
çelsat		O
e		O
shtëpisë		O
së		O
re		O
familjes		O
Musai		B-PER
në		O
Levan		B-VEND_0
të		B-VEND_0
Fierit		I-VEND_0
.		O
Disa		O
muaj		O
më		O
parë		O
kur		O
Katerina		B-PER
31		O
vjeçare		O
solli		O
në		O
jetë		O
fëmijën		O
e		O
saj		O
të		O
10-të		O
,		O
Balla		B-PER
i		O
dha		O
fjalën		O
se		O
familja		O
e		O
saj		O
do		O
të		O
kishte		O
një		O
shtëpi		O
te		O
re		O
me		O
kushte		O
normale		O
për		O
festat		O
e		O
fundvitit		O
.		O
Përmes		O
një		O
postimi		O
në		O
rrjetin		O
social		O
facebook		B-ORG
ministri		O
Balla		B-PER
shkruan		O
se		O
10		O
fëmijët		O
e		O
familjes		O
Musai		B-PER
do		O
ta		O
kalojnë		O
natën		O
e		O
vitit		O
të		O
ri		O
në		O
shtëpi		O
te		O
re		O
,		O
ndërsa		O
i		O
uron		O
gjithë		O
shqiptarëve		O
gëzuar		O
vitin		O
e		O
ri		O
2024		O
.		O
"		O
Levan		B-VEND_0
,		B-VEND_0
Fier		I-VEND_0
,		O
Kur		O
Katerina		B-PER
31		O
vjeçare		O
solli		O
në		O
jetë		O
fëmijën		O
e		O
saj		O
të		O
10-të		O
,		O
i		O
dhamë		O
fjalën		O
se		O
do		O
të		O
kishte		O
një		O
shtëpi		O
me		O
kushte		O
normale		O
për		O
festat		O
e		O
fundvitit		O
.		O
Fjala		O
u		O
mbajt		O
!		O
10		O
fëmijët		O
e		O
familjes		O
Musai		B-PER
do		O
ta		O
kalojnë		O
natën		O
e		O
vitit		O
të		O
ri		O
të		O
gëzuar		O
.		O
Gëzuar		O
vitin		O
2024		O
!		O
"		O
,		O
shkruan		O
Balla		B-PER
.		O
