TIRANË		B-VEND_0
,		O
26		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Gjatë		O
ditës		O
së		O
djeshme		O
është		O
konstatuar		O
një		O
sulm		O
kibernetik		O
ndaj		O
institucionit		O
të		O
Kuvendit		O
të		O
Shqipërisë		B-VEND_1
,		O
njoftoi		O
sot		O
zyra		O
për		O
shtyp		O
e		O
Kuvendit		O
.		O
Ekspertët		O
e		O
IT		O
po		O
punojnë		O
për		O
të		O
zbuluar		O
se		O
çfarë		O
pasojash		O
ka		O
sjellë		O
ky		O
sulm		O
në		O
sistemin		O
e		O
Kuvendit		O
të		O
Shqipërisë		B-VEND_1
.		O
Për		O
sa		O
më		O
sipër		O
,		O
Kuvendi		O
njofton		O
se		O
,		O
dalja		O
LIVE		O
e		O
shërbimeve		O
kërkon		O
kohë		O
pasi		O
po		O
kontrollohen		O
të		O
gjitha		O
detajet		O
dhe		O
vijon		O
puna		O
për		O
të		O
kthyer		O
në		O
normalitet		O
faqen		O
e		O
Kuvendit		O
të		O
Shqipërisë		B-VEND_1
.		O
