TIRANË		B-VEND_0
,		O
26		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Disa		O
nga		O
emrat		O
më		O
të		O
njohur		O
të		O
artit		O
në		O
vend		O
,		O
do		O
të		O
mblidhen		O
për		O
një		O
koncert		O
të		O
veçantë		O
,		O
mbrëmjen		O
e		O
sotme		O
.		O
Ministrja		O
e		O
Kulturës		O
,		O
Elva		B-PER
Margariti		I-PER
,		O
bëri		O
me		O
dije		O
se		O
,		O
mes		O
ëngjëjsh		O
dhe		O
shenjtorësh		O
,		O
emrat		O
më		O
në		O
zë		O
të		O
skenës		O
shqiptare		O
do		O
të		O
mbajnë		O
ndezur		O
atmosferën		O
e		O
Krishtlindjes		O
.		O
Koncerti		O
do		O
të		O
zhvillohet		O
në		O
ora		O
19:00		O
,		O
në		O
pavijonin		O
e		O
ikonave		O
,		O
pranë		O
Muzeut		O
Historik		O
Kombëtar		O
.		O
Ky		O
koncert		O
zhvillohet		O
me		O
mbështetjen		O
e		O
Ministrisë		B-ORG
së		I-ORG
Kulturës		I-ORG
.		O
