TIRANË		B-VEND_0
,		O
29		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Këshilli		B-ORG
i		I-ORG
Ministrave		I-ORG
miratoi		O
vendimin		O
për		O
rregullat		O
dhe		O
procedurat		O
e		O
shqyrtimit		O
të		O
nevojës		O
,		O
hartimit		O
,		O
bashkëpunimit		O
,		O
miratimit		O
dhe		O
funksionimit		O
të		O
metodave		O
apo		O
të		O
seksioneve		O
të		O
reja		O
të		O
platformës		O
"		O
Me		O
ty		O
për		O
Shqipërinë		O
që		O
duam		O
"		O
.		O
Vendimi		O
parashikon		O
ndër		O
të		O
tjera		O
rregullat		O
për		O
"		O
Këshillimin		O
Kombëtar		O
"		O
,		O
qoftë		O
si		O
një		O
instrument		O
për		O
krijimin		O
e		O
metodave		O
të		O
bashkëqeverisjes		O
,		O
ashtu		O
edhe		O
për		O
zbatimin		O
e		O
qëllimeve		O
të		O
ligjit		O
"		O
Për		O
bashkëqeverisjen		O
"		O
.		O
Konkretisht		O
,		O
nisma		O
për		O
krijimin		O
e		O
metodave		O
ose		O
seksioneve		O
të		O
reja		O
mund		O
të		O
ndërmerret		O
nga		O
ankesat		O
apo		O
kërkesat		O
e		O
subjekteve		O
në		O
"		O
Platformë		O
"		O
,		O
por		O
edhe		O
nga		O
të		O
dhënat		O
e		O
marra		O
në		O
mënyrë		O
direkte		O
ose		O
të		O
tërthortë		O
përmes		O
"		O
Këshillimit		O
Kombëtar		O
"		O
apo		O
nga		O
veprimtaria		O
e		O
vetë		O
institucioneve		O
shtetërore		O
.		O
"		O
Këshillimi		O
Kombëtar		O
"		O
është		O
një		O
proces		O
gjithëpërfshirës		O
në		O
kuadër		O
të		O
parimeve		O
të		O
bashkëqeverisjes		O
për		O
përmbushjen		O
e		O
objektit		O
të		O
mendimdhënies		O
së		O
publikut		O
nëpërmjet		O
mbledhjes		O
së		O
opinionit		O
të		O
qytetarëve		O
mbi		O
politikat		O
,		O
nismat		O
,		O
vendimmarrjen		O
e		O
Këshillit		B-ORG
të		I-ORG
Ministrave		I-ORG
,		O
si		O
dhe		O
mbi		O
çështjet		O
që		O
lidhen		O
me		O
veprimtarinë		O
e		O
institucioneve		O
të		O
administratës		O
shtetërore		O
në		O
drejtim		O
të		O
dhënies		O
së		O
shërbimeve		O
cilësore		O
ndaj		O
publikut		O
.		O
Vendimi		O
parashikon		O
se		O
"		O
Këshillimi		O
Kombëtar		O
"		O
kryhet		O
nga		O
Agjencia		B-ORG
për		I-ORG
Dialog		I-ORG
dhe		I-ORG
Bashkëqeverisje		I-ORG
,		O
kryesisht		O
me		O
nismën		O
e		O
saj		O
ose		O
me		O
nismën		O
e		O
Kryeministrit		O
,		O
kur		O
vlerësohet		O
e		O
nevojshme		O
prej		O
tyre		O
,		O
jo		O
më		O
shpesh		O
se		O
dy		O
herë		O
në		O
vit		O
.		O
Mbledhja		O
e		O
opinionit		O
të		O
qytetarëve		O
në		O
kuadër		O
të		O
këtij		O
procesi		O
këshillimi		O
kryhet		O
nëpërmjet		O
plotësimit		O
nga		O
ana		O
e		O
tyre		O
të		O
një		O
pyetësori		O
të		O
hartuar		O
nga		O
Agjencia		B-ORG
për		I-ORG
Dialog		I-ORG
dhe		I-ORG
Bashkëqeverisje		I-ORG
,		O
i		O
cili		O
shpërndahet		O
në		O
formatin		O
fizik		O
nga		O
Posta		O
Shqiptare		O
,		O
sh.a.		O
,		O
pranë		O
adresave		O
të		O
tyre		O
të		O
banimit		O
.		O
Pyetësori		O
hartohet		O
në		O
bazë		O
të		O
çështjeve		O
apo		O
pyetjeve		O
për		O
të		O
cilat		O
Kryeministri		O
i		O
ka		O
komunikuar		O
Agjencisë		B-ORG
për		I-ORG
Dialog		I-ORG
dhe		I-ORG
Bashkëqeverisje		I-ORG
nismën		O
për		O
zhvillimin		O
e		O
Këshillimit		O
,		O
ose		O
të		O
çështjeve		O
apo		O
pyetjeve		O
që		O
kjo		O
e		O
fundit		O
ka		O
vlerësuar		O
të		O
përshtatshme		O
me		O
nismën		O
e		O
saj		O
,		O
pasi		O
të		O
ketë		O
marrë		O
miratimin		O
e		O
Kryeministrit		O
për		O
to		O
.		O
Sipas		O
vendimit		O
,		O
Agjencia		B-ORG
për		I-ORG
Dialog		I-ORG
dhe		I-ORG
Bashkëqeverisje		I-ORG
është		O
institucioni		O
përgjegjës		O
për		O
zhvillimin		O
dhe		O
monitorimin		O
e		O
Këshillimit		O
në		O
bashkëpunim		O
me		O
INSTAT-in		B-ORG
dhe		O
Posta		O
Shqiptare		O
,		O
sh.a.		O
,		O
apo		O
me		O
çdo		O
institucion		O
publik		O
tjetër		O
të		O
nevojshëm		O
,		O
sipas		O
marrëveshjes		O
kuadër		O
të		O
bashkëpunimit		O
ndërinstitucional		O
që		O
lidhet		O
midis		O
tyre		O
për		O
kryerjen		O
e		O
fazave		O
specifike		O
të		O
procesit		O
,		O
në		O
përputhje		O
me		O
kuadrin		O
ligjor		O
institucional		O
të		O
secilit		O
prej		O
këtyre		O
institucioneve		O
.		O
