TIRANË		B-VEND_0
,		O
26		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Euroja		O
dhe		O
dollari		O
fituan		O
terren		O
këtë		O
të		B-DATE_1
martë		I-DATE_1
në		O
kursin		O
e		O
këmbimit		O
me		O
lekun		O
.		O
Sipas		O
kursit		O
zyrtar		O
të		O
Bankës		B-ORG
së		I-ORG
Shqipërisë		I-ORG
,		O
në		O
tregun		O
valutor		O
,		O
një		O
dollar		O
këmbehet		O
me		O
94.28		O
lekë		O
ose		O
0.13		O
lekë		O
më		O
tepër		O
se		O
të		B-DATE_1
premten		I-DATE_1
e		O
javës		O
së		O
shkuar		O
,		O
ndërsa		O
një		O
euro		O
këmbehet		O
me		O
103.87		O
lekë		O
ose		O
0.13		O
lekë		O
më		O
tepër		O
.		O
