TIRANË		B-VEND_0
,		O
25		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Nxitja		O
e		O
kreativitetit		O
dhe		O
inovacionit		O
për		O
gratë		O
sipërmarrëse		O
shqiptare		O
,		O
është		O
synimi		O
i		O
AWE		O
2023		O
(		O
Akademia		O
për		O
Gratë		O
Sipërmarrëse		O
)		O
,		O
një		O
projekt		O
bashkëpunimi		O
frymëzues		O
midis		O
Destil		O
Creative		O
Hub		O
dhe		O
Ambasadës		O
së		O
SHBA		O
.		O
Projekti		O
është		O
i		O
përkushtuar		O
për		O
të		O
nxitur		O
gratë		O
e		O
reja		O
sipërmarrëse		O
në		O
sektorë		O
të		O
ndryshëm		O
krijues		O
të		O
Shqipërisë		B-VEND_1
,		O
me		O
një		O
fokus		O
të		O
veçantë		O
në		O
shfrytëzimin		O
e		O
potencialit		O
krijues		O
për		O
të		O
kapërcyer		O
sfida		O
të		O
ndryshme		O
.		O
Këtë		O
vit		O
,		O
që		O
është		O
viti		O
i		O
katërt		O
që		O
Destil		O
e		O
zbaton		O
këtë		O
projekt		O
,		O
është		O
punuar		O
me		O
një		O
grup		O
prej		O
25		O
vajzash		O
të		O
pasionuara		O
,		O
për		O
programin		O
Dreambuilder		O
dhe		O
10		O
pjesëmarrëse		O
për		O
projektin		O
"		O
100		O
milion		O
nxënës		O
"		O
,		O
ku		O
secila		O
prej		O
pjesëmarrëseve		O
ka		O
ushqyer		O
një		O
ide		O
unike		O
biznesi		O
.		O
Gratë		O
e		O
vajzat		O
kanë		O
kaluar		O
trajnime		O
intensive		O
,		O
punëtori		O
dhe		O
vizita		O
studimore		O
për		O
të		O
mësuar		O
nga		O
sukseset		O
e		O
grave		O
të		O
shquara		O
në		O
industrinë		O
krijuese		O
shqiptare		O
.		O
Thelbi		O
i		O
AWE		O
2023		O
ka		O
të		O
bëjë		O
me		O
krijimin		O
e		O
produkteve		O
të		O
prekshme		O
dhe		O
përfaqësuesit		O
e		O
Destil		O
Creative		O
Hub		O
janë		O
shprehur		O
absolutisht		O
të		O
emocionuar		O
për		O
përparimin		O
që		O
kanë		O
bërë		O
vajzat		O
pjesëmarrëse		O
në		O
projekt		O
.		O
