GJERMANI		B-VEND_1
–		O
Shitjet		O
para		O
Krishtlindjeve		O
zhgënjyese		O
,		O
besimi		O
i		O
konsumatorëve		O
në		O
rënie		O
DUSELDORF		B-VEND_0
,		O
25		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-DPA		O
/		O
–		O
Shitësit		O
gjermanë		O
me		O
pakicë		O
kanë		O
pasur		O
një		O
sezon		O
të		O
dobët		O
të		O
blerjeve		O
për		O
Krishtlindje		O
.		O
"		O
Për		O
fat		O
të		O
keq		O
,		O
biznesi		O
ishte		O
dukshëm		O
më		O
keq		O
se		O
në		O
vitin		B-DATE_0
2022		I-DATE_0
"		O
,		O
tha		O
Stefan		B-PER
Genth		I-PER
,		O
drejtori		O
menaxhues		O
i		O
Shoqatës		B-ORG
Gjermane		I-ORG
të		I-ORG
Shitjes		I-ORG
me		I-ORG
Pakicë		I-ORG
(		I-ORG
HDE		I-ORG
)		I-ORG
.		O
Megjithëse		O
biznesi		O
i		O
Krishtlindjeve		O
nuk		O
ishte		O
i		O
mirë		O
në		B-DATE_0
2022		I-DATE_0
,		O
Genth		B-PER
pret		O
një		O
rënie		O
të		O
rregulluar		O
të		O
çmimeve		O
nga		O
5		O
%		O
në		O
6		O
%		O
.		O
HDE		B-ORG
ka		O
parashikuar		O
shitje		O
që		O
arrijnë		O
vlerën		O
e		O
rreth		O
120		O
miliardë		O
eurove		O
(		O
132		O
miliardë		O
dollarë		O
)		O
në		O
nëntor		O
dhe		O
dhjetor		B-DATE_0
2023		I-DATE_0
.		O
Genth		B-PER
beson		O
se		O
arsyeja		O
kryesore		O
për		O
rezultatet		O
zhgënjyese		O
vjetore		O
është		O
kufizimi		O
masiv		O
i		O
konsumatorëve		O
.		O
"		O
Njerëzit		O
janë		O
të		O
prirur		O
të		O
bëjnë		O
diçka		O
për		O
veten		O
e		O
tyre		O
.		O
Ky		O
trend		O
nga		O
epoka		O
e		O
koronavirusit		O
tashmë		O
është		O
konfirmuar		O
edhe		O
një		O
herë		O
"		O
,		O
tha		O
Genth		B-PER
.		O
Biznesi		O
në		O
internet		O
ishte		O
gjithashtu		O
zhgënjyes		O
.		O
Sipas		O
Shoqatës		B-ORG
Gjermane		I-ORG
të		I-ORG
Tregtisë		I-ORG
Elektronike		I-ORG
dhe		I-ORG
Tregtisë		I-ORG
në		I-ORG
Distanca		I-ORG
(		O
bevh		O
)		O
,		O
shitësit		O
me		O
pakicë		O
në		O
internet		O
mezi		O
përfituan		O
nga		O
biznesi		O
i		O
Krishtlindjeve		O
.		O
Pavarësisht		O
rezultateve		O
vjetore		O
zhgënjyese		O
,		O
sektori		O
i		O
shitjeve		O
me		O
pakicë		O
po		O
shikon		O
vitin		B-DATE_0
2024		I-DATE_0
me		O
pritshmëri		O
optimiste		O
të		O
kujdesshme		O
.		O
"		O
Tregu		O
i		O
punës		O
po		O
jep		O
një		O
efekt		O
stabilizues		O
dhe		O
inflacioni		O
po		O
bie		O
ndjeshëm		O
"		O
,		O
tha		O
Genth		B-PER
.		O
/		O
/		O
a.i		O
/		O
