TIRANË		B-VEND_0
,		O
30		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH-Maela		O
Marini		O
/		O
Kryeministri		O
Edi		B-PER
Rama		I-PER
bëri		O
të		O
ditur		O
sot		O
se		O
me		O
futjen		O
e		O
inteligjencës		O
artificiale		O
në		O
procesin		O
e		O
prokurimeve		O
publike		O
do		O
të		O
evitohet		O
95		O
%		O
e		O
punës		O
së		O
njeriut		O
duke		O
reduktuar		O
kështu		O
subjektivitetin		O
në		O
shkelje		O
të		O
ligjit		O
.		O
Në		O
konferencën		O
e		O
përvitshme		O
për		O
shtyp		O
me		O
gazetarët		O
,		O
Rama		B-PER
tha		O
se		O
"		O
na		O
duhet		O
të		O
bëjmë		O
ende		O
shumë		O
punë		O
për		O
të		O
garantuar		O
që		O
sistemet		O
e		O
brendshme		O
të		O
qeverisjes		O
të		O
jenë		O
më		O
të		O
forta		O
dhe		O
të		O
sigurta		O
dhe		O
më		O
të		O
paprekshme		O
nga		O
subjektiviteti		O
dhe		O
abuzimi		O
me		O
detyrën		O
"		O
.		O
Rama		B-PER
bëri		O
të		O
ditur		O
se		O
agjencitë		O
që		O
bëjnë		O
prokurime		O
do		O
të		O
punojnë		O
me		O
agjenci		O
të		O
specializuara		O
ndërkombëtare		O
.		O
