TIRANË		B-VEND_0
,		O
30		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Kryeministri		O
Edi		B-PER
Rama		I-PER
theksoi		O
sot		O
se		O
"		O
kemi		O
vijuar		O
me		O
laboratorët		O
smart		O
në		O
shkolla		O
,		O
janë		O
instaluar		O
12		O
laboratorët		O
e		O
parë		O
të		O
inteligjencës		O
artificiale		O
në		O
shkollat		O
publike		O
"		O
Rama		B-PER
tha		O
se		O
"		O
pas		O
100		O
laboratorëve		O
smart		O
që		O
janë		O
vënë		O
në		O
punë		O
këtë		O
vit		O
do		O
të		O
vijojmë		O
me		O
216		O
laboratorë		O
smart		O
vitin		O
e		O
ardhshëm		O
"		O
.		O
Kryeministri		O
Rama		B-PER
theksoi		O
se		O
"		O
është		O
rritur		O
ndjeshëm		O
paga		O
e		O
personelit		O
akademik		O
dhe		O
është		O
rritur		O
me		O
40		O
%		O
financimi		O
i		O
arsimit		O
të		O
lartë		O
"		O
,		O
tha		O
Rama		B-PER
.		O
