TIRANË		B-VEND_0
,		O
22		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Produkti		O
i		O
Brendshëm		O
Bruto		O
(		O
PBB		O
)		O
shënoi		O
rritje		O
me		O
3.46		O
%		O
në		O
tremujorin		O
e		O
tretë		O
të		O
vitit		B-DATE_0
2023		I-DATE_0
,		O
kundrejt		O
tremujorit		O
të		O
tretë		O
të		O
vitit		B-DATE_0
2022		I-DATE_0
.		O
INSTAT		B-ORG
publikoi		O
sot		O
raportin		O
mbi		O
rritjen		O
ekonomike		O
në		O
vend		O
.		O
Degët		O
kryesore		O
që		O
udhëhoqën		O
rritjen		O
ekonomike		O
në		O
vend		O
ishin		O
ndërtimi		O
dhe		O
pasuritë		O
e		O
paluajtshme		O
.		O
Sipas		O
INSTAT-it.		B-ORG
aktiviteti		O
i		O
bujqësisë		O
,		O
pyjeve		O
dhe		O
peshkimit		O
shënoi		O
rënie		O
prej		O
0,50		O
%		O
.		O
Aktiviteti		O
i		O
industrisë		O
,		O
energjisë		O
dhe		O
ujit		O
pati		O
një		O
rënie		O
me		O
2.89		O
%		O
.		O
