TIRANË		B-VEND_0
,		O
26		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Industrisë		O
nxjerrëse		O
renditet		O
sektori		O
i		O
dytë		O
për		O
nga		O
vlera		O
e		O
investimeve		O
të		O
huaja		O
pas		O
atij		O
në		O
pasuri		O
të		O
paluajtshme		O
,		O
sipas		O
të		O
dhënave		O
nga		O
Banka		B-ORG
e		I-ORG
Shqipërisë		I-ORG
.		O
Përveç		O
rolit		O
të		O
investitorit		O
kryesor		O
,		O
Bankers		B-PER
Petroleum		I-PER
,		O
vlerësohet		O
se		O
një		O
peshë		O
në		O
rritje		O
mund		O
kanë		O
edhe		O
investimet		O
e		O
Shell		O
,		O
në		O
zonën		O
naftëmbajtëse		O
të		O
Shpiragut		O
,		O
ku		O
ekzistojnë		O
pritshmëri		O
për		O
ekzistencën		O
e		O
rezervave		O
të		O
mëdha		O
të		O
naftës		O
bruto		O
.		O
