TIRANË		B-VEND_0
,		O
27		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Yield-et		O
bonove		O
12-mujore		O
pësuan		O
një		O
rënie		O
të		O
lehtë		O
në		O
ankandin		O
e		O
fundit		O
të		O
vitit		B-DATE_0
2023		I-DATE_0
.		O
Sipas		O
të		O
dhënave		O
nga		O
Banka		B-ORG
e		I-ORG
Shqipërisë		I-ORG
,		O
yield-i		O
mesatar		O
i		O
ponderuar		O
zbriti		O
në		O
3.36		O
%		O
,		O
nga		O
3.41		O
%		O
që		O
kishte		O
qenë		O
në		O
ankandin		O
e		O
mëparshëm		O
,		O
muajin		O
e		O
kaluar		O
.		O
Nga		O
7		O
miliardë		O
lekë		O
që		O
ishte		O
shuma		O
e		O
shpallur		O
për		O
financim		O
nga		O
Ministria		B-ORG
e		I-ORG
Financave		I-ORG
dhe		I-ORG
Ekonomisë		I-ORG
,		O
kërkesat		O
totale		O
në		O
ankand		O
arritën		O
vlerën		O
e		O
9.9		O
miliardë		O
lekëve		O
.		O
Ekspertët		O
shprehen		O
se		O
,		O
vendimi		O
i		O
Këshillit		B-ORG
Mbikëqyrës		I-ORG
të		I-ORG
Bankës		I-ORG
së		I-ORG
Shqipërisë		I-ORG
për		O
të		O
mos		O
rritur		O
normën		O
bazë		O
javën		O
e		O
kaluar		O
e		O
ka		O
frenuar		O
për		O
momentin		O
rritjen		O
e		O
yield-eve.		O
Por		O
theksojnë		O
ata		O
,		O
një		O
faktor		O
tjetër		O
që		O
mund		O
të		O
ketë		O
ndikuar		O
në		O
uljen		O
e		O
yield-it		O
të		O
bonove		O
12-mujore		O
është		O
edhe		O
kërkesa		O
e		O
pakët		O
e		O
qeverisë		O
për		O
borxh		O
gjatë		O
muajit		O
dhjetor		O
.		O
