TIRANË		B-VEND_0
,		O
26		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Në		O
vitin		B-DATE_0
1912		I-DATE_0
u		O
themelua		O
revista		O
e		O
së		O
dielës		O
arbëreshe		O
,		O
"		O
Fjala		O
dhe		O
t'in		O
Zoti		O
"		O
,		O
një		O
revistë		O
fetare		O
e		O
së		B-DATE_1
dielës		I-DATE_1
,		O
por		O
edhe		O
një		O
shkollë		O
dhe		O
vatër		O
patriotizmi		O
për		O
shumë		O
të		O
rinj		O
arbëreshë		O
.		O
Kjo		O
revistë		O
u		O
themelua		O
nga		O
studiuesi		O
Pal		B-PER
Skiroi		I-PER
(		O
Paolo		B-PER
Schirò		I-PER
)		O
dhe		O
shërbeu		O
si		O
një		O
dritare		O
informimi		O
për		O
arbëreshët		O
e		O
Siçilisë		O
.		O
Shumë		O
prej		O
albanologëve		O
të		O
kohës		O
e		O
përshëndetën		O
dhe		O
e		O
pritën		O
me		O
interes		O
shkencor		O
botimin		O
e		O
"		O
Fjala		O
e		O
T'in'Zoti"		O
,		O
imzot		O
Skiroi		B-PER
mbajti		O
një		O
letërkëmbim		O
me		O
studiuesin		O
dhe		O
atdhetarët		O
e		O
kohës		O
,		O
Kristo		B-PER
Luarasi		I-PER
,		O
Lumo		B-PER
Skëndo		I-PER
,		O
Lef		B-PER
Nosi		I-PER
,		O
at		O
Shtjefën		B-PER
Gjeçovi		I-PER
,		O
at		O
Gjergj		B-PER
Fishta		I-PER
,		O
dom		O
Lazër		B-PER
Mjedja		I-PER
e		O
shumë		O
atdhetarë		O
të		O
tjerë		O
të		O
cilët		O
e		O
përkrahën		O
këtë		O
nismë		O
.		O
