TIRANË		B-VEND_0
,		O
25		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Policia		O
e		O
Shtetit		O
,		O
njofton		O
se		O
është		O
gatishmëri		O
të		O
plotë		O
për		O
të		O
garantuar		O
rendin		O
dhe		O
sigurinë		O
,		O
me		O
rastin		O
e		O
festave		O
të		O
Fundvitit		O
.		O
"		O
Me		O
qëllim		O
garantimin		O
e		O
rendit		O
dhe		O
sigurisë		O
publike		O
gjatë		O
festave		O
të		O
fundvitit		O
,		O
Krishtlindjeve		O
,		O
natës		O
së		O
ndërrimit		O
të		O
viteve		O
dhe		O
ditëve		O
të		O
para		O
të		O
vitit		O
të		O
ri		O
2024		O
,		O
Policia		O
e		O
Shtetit		O
ka		O
hartuar		O
një		O
plan		O
te		O
detajuar		O
masash		O
,		O
për		O
të		O
siguruar		O
mbarëvajtjen		O
e		O
festave		O
dhe		O
për		O
të		O
parandaluar		O
ngjarjet		O
kriminale		O
dhe		O
ato		O
rrugore		O
,		O
pasi		O
prej		O
dy		O
ditësh		O
ka		O
fluksit		O
të		O
madh		O
në		O
të		O
gjitha		O
pikat		O
e		O
kalimit		O
kufitar		O
,		O
për		O
të		O
hyrë		O
në		O
Shqipëri		B-VEND_1
"		O
,		O
bëhet		O
me		O
dije		O
në		O
njoftim		O
.		O
"		O
Masa		O
shtesë		O
janë		O
ndërmarrë		O
edhe		O
për		O
të		O
parandaluar		O
futjen		O
në		O
Shqipëri		B-VEND_1
,		O
të		O
lëndëve		O
piroteknike		O
dhe		O
përdorimin		O
e		O
kundërligjshëm		O
të		O
tyre		O
"		O
,		O
sqaron		O
Policia		O
.		O
"		O
Masa		O
janë		O
marrë		O
edhe		O
në		O
drejtim		O
të		O
parandalimit		O
të		O
ngjarjeve		O
rrugore		O
,		O
duke		O
shtuar		O
monitorimet		O
në		O
të		O
gjitha		O
akset		O
rrugore		O
,		O
me		O
makina		O
inteligjente		O
,		O
radarë		O
automatikë		O
dhe		O
me		O
patrulla		O
të		O
lëvizshme		O
,		O
me		O
mjete		O
të		O
pauniformuara		O
,		O
me		O
qëllim		O
parandalimin		O
e		O
aksidenteve		O
rrugore		O
.		O
Ndërkohë		O
,		O
vijon		O
kontrolli		O
ndaj		O
subjekteve		O
që		O
tregtojnë		O
fishekzjarrë		O
dhe		O
lëndë		O
të		O
tjera		O
piroteknike		O
,		O
duke		O
bashkëpunuar		O
me		O
PMNZH-në		B-ORG
dhe		O
me		O
strukturat		O
e		O
tjera		O
ligjzbatuese		O
"		O
,		O
njofton		O
Policia		O
.		O
