TIRANË		B-VEND_0
,		O
23		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
11		O
vende		O
të		O
reja		O
pune		O
,		O
të		O
shpërblyera		O
me		O
nivelin		O
më		O
të		O
lartë		O
të		O
pagave		O
janë		O
të		O
lira		O
në		O
Qendrën		O
e		O
Inovacionit		O
të		O
Sigurisë		O
dhe		O
Mbrojtjes		O
,		O
pranë		O
Ministrisë		B-ORG
së		I-ORG
Mbrojtjes		I-ORG
.		O
Sipas		O
njoftimit		O
të		O
Ministrisë		B-ORG
së		I-ORG
Mbrojtjes		I-ORG
bëhet		O
me		O
dije		O
se		O
"		O
thirrja		O
është		O
e		O
hapur		O
deri		O
më		O
4		B-DATE_0
janar		I-DATE_0
2024		I-DATE_0
për		O
ekspertë		O
të		O
fushave		O
të		O
ndryshme		O
që		O
do		O
të		O
plotësojnë		O
pozicionet		O
në		O
këtë		O
institucion		O
të		O
ri		O
.		O
Aplikantët		O
duhet		O
të		O
plotësojnë		O
një		O
sërë		O
kriteresh		O
,		O
të		O
cilat		O
janë		O
të		O
publikuara		O
,		O
së		O
bashku		O
me		O
njoftimin		O
e		O
vendeve		O
të		O
lira		O
,		O
në		O
faqen		O
zyrtare		O
të		O
Ministrisë		B-ORG
së		I-ORG
Mbrojtjes		I-ORG
.		O
Kjo		O
qendër		O
ofron		O
paga		O
shumë		O
të		O
mira		O
,		O
tejet		O
konkurruese		O
edhe		O
me		O
tregun		O
privat		O
"		O
.		O
"		O
Qendra		O
e		O
Inovacionit		O
të		O
Sigurisë		O
dhe		O
Mbrojtjes		O
synon		O
avancimin		O
e		O
kapaciteteve		O
dhe		O
inovacionin		O
në		O
fushën		O
e		O
sigurisë		O
dhe		O
mbrojtjes		O
,		O
duke		O
theksuar		O
rëndësinë		O
e		O
teknologjive		O
bashkëkohore		O
dhe		O
integrimin		O
e		O
tyre		O
në		O
projekte		O
të		O
reja		O
.		O
Nxitja		O
e		O
ekosistemit		O
,		O
afrimi		O
i		O
talenteve		O
,		O
dhe		O
mbështetja		O
e		O
startup-eve		O
me		O
mentorim		O
,		O
përmirësimi		O
i		O
proceseve		O
të		O
brendshme		O
dhe		O
optimizimi		O
i		O
shpërndarjes		O
së		O
burimeve		O
janë		O
të		O
rëndësishme		O
për		O
efiçencën		O
dhe		O
arritjen		O
e		O
objektivave		O
"		O
,		O
njofton		O
Ministria		B-ORG
e		I-ORG
Mbrojtjes		I-ORG
.		O
"		O
Për		O
nevoja		O
të		O
realizimit		O
të		O
veprimtarisë		O
së		O
saj		O
,		O
qendra		O
do		O
të		O
shkëmbejë		O
informacione		O
me		O
institucionet		O
në		O
varësi		O
të		O
Ministrisë		B-ORG
së		I-ORG
Mbrojtjes		I-ORG
;		O
NATO-n		B-ORG
dhe		O
partnerë		O
të		O
tjerë		O
për		O
zhvillim		O
;		O
persona		O
fizikë		O
e		O
juridikë		O
,		O
publikë		O
ose		O
privatë		O
,		O
vendës		O
apo		O
të		O
huaj		O
,		O
që		O
ushtrojnë		O
veprimtari		O
në		O
fushën		O
e		O
kërkimit		O
shkencor		O
,		O
inovacionit		O
,		O
komunikimeve		O
elektronike		O
dhe		O
teknologjisë		O
së		O
informacionit		O
etj		O
.		O
;		O
ministrinë		O
përgjegjëse		O
për		O
fushën		O
e		O
komunikimeve		O
elektronike		O
"		O
,		O
përfundon		O
njoftimi		O
.		O
