TIRANË		B-VEND_0
,		O
30		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Kryeministri		O
Edi		B-PER
Rama		I-PER
dekalroi		O
sot		O
se		O
"		O
janë		O
mbyllur		O
këtë		O
vit		O
37		O
projekte		O
për		O
furnizimin		O
24		O
orë		O
me		O
ujë		O
të		O
pijshëm		O
në		O
29		O
bashki		O
"		O
.		O
Në		O
konferencën		O
për		O
shtyp		O
të		O
Fundvitit		O
me		O
gazetarët		O
Rama		B-PER
tha		O
se		O
"		O
numrit		O
të		O
banorëve		O
të		O
furnizuar		O
24		O
orë		O
me		O
ujë		O
i		O
janë		O
shtuar		O
223		O
mijë		O
banorë		O
të		O
tjerë		O
"		O
.		O
Në		O
