TIRANË		B-VEND_0
,		O
26		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Të		O
gjithë		O
shkelësit		O
e		O
rregullave		O
të		O
qarkullimit		O
,		O
përsëritës		O
në		O
sjellje		O
që		O
rrezikojnë		O
ata		O
vetë		O
dhe		O
të		O
tjerët		O
në		O
rrugë		O
,		O
pas		O
heqjes		O
së		O
pikëve		O
të		O
patentës		O
,		O
me		O
aktet		O
e		O
reja		O
në		O
fuqi		O
prej		O
mbi		O
një		O
viti		O
tashmë		O
,		O
për		O
të		O
rifituar		O
të		O
drejtën		O
e		O
drejtimit		O
të		O
mjetit		O
,		O
duhet		O
të		O
regjistrohen		O
nga		O
e		O
para		O
në		O
autoshkollë		O
e		O
t'i		O
rinënshtrohen		O
testit		O
teori-praktikë		O
.		O
Drejtoria		B-ORG
e		I-ORG
Përgjithshme		I-ORG
e		I-ORG
Shërbimit		I-ORG
të		I-ORG
Transportit		I-ORG
Rrugor		I-ORG
,		I-ORG
(		I-ORG
DPSHTRR		I-ORG
)		I-ORG
bën		O
të		O
ditur		O
se		O
vetëm		O
111		O
persona		O
nga		O
823		O
riregjistrime		O
në		O
autoshkollë		O
për		O
shkak		O
të		O
heqjeve		O
të		O
pikëve		O
të		O
patentës		O
,		O
e		O
kanë		O
rifituar		O
lejen		O
e		O
drejtimit		O
gjatë		O
periudhës		O
qershor		B-DATE_0
2022		I-DATE_0
–		O
dhjetor		B-DATE_0
2023		I-DATE_0
.		O
"		O
Në		O
seancën		O
e		O
fundit		O
të		O
zhvilluar		O
,		O
nga		O
35		O
riregjistrime		O
,		O
u		O
paraqitën		O
23		O
kandidatë		O
ku		O
vetëm		O
10		O
prej		O
tyre		O
rezultuan		O
fitues		O
.		O
823		O
riregjistrime		O
në		O
autoshkolla		O
dhe		O
vetëm		O
13.4		O
%		O
prej		O
tyre		O
kthehen		O
në		O
rrugë		O
si		O
drejtues		O
mjeti		O
,		O
kësaj		O
here		O
akoma		O
më		O
të		O
përgjegjshëm		O
"		O
,		O
bën		O
të		O
ditur		O
DPSHTRR		B-ORG
.		O
