TIRANË		B-VEND_0
,		O
28		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Kursimet		O
e		O
individëve		O
,		O
familjeve		O
e		O
bizneseve		O
në		O
monedhën		O
vendase		O
shënuan		O
një		O
rritje		O
të		O
ndjeshme		O
gjatë		O
muajit		O
nëntor		O
.		O
Të		O
dhënat		O
e		O
Bankës		B-ORG
së		I-ORG
Shqipërisë		I-ORG
tregojnë		O
se		O
në		O
fund		O
të		O
muajit		O
nëntor		O
,		O
stoku		O
i		O
depozitave		O
në		O
lekë		O
arriti		O
në		O
564		O
miliardë		O
lekë		O
,		O
me		O
një		O
rritje		O
prej		O
3.1		O
%		O
,		O
ose		O
17		O
miliardë		O
lekë		O
më		O
shumë		O
sesa		O
muaji		O
i		O
mëparshëm		O
.		O
Ndërsa		O
kursimet		O
në		O
euro		O
shënuan		O
7.28		O
miliardë		O
lekë		O
në		O
nëntor		O
,		O
me		O
një		O
rritje		O
prej		O
22		O
milionë		O
euro		O
.		O
Me		O
bazë		O
vjetore		O
(		O
nëntor		B-DATE_0
2023		I-DATE_0
/		O
nëntor		B-DATE_0
2022		I-DATE_0
)		O
,		O
depozitat		O
në		O
lekë		O
janë		O
rritur		O
me		O
4.2		O
%		O
.		O
