TIRANË		B-VEND_0
,		O
26		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Sektori		O
i		O
pasurive		O
të		O
paluajtshme		O
po		O
kryeson		O
investimet		O
e		O
huaja		O
direkte		O
për		O
të		O
dytin		O
vit		O
radhazi		O
,		O
bëri		O
të		O
ditur		O
Banka		B-ORG
e		I-ORG
Shqipërisë		I-ORG
.		O
Sipas		O
statistikave		O
,		O
për		O
tremujorin		O
e		O
tretë		O
të		O
këtij		O
viti		O
investimet		O
e		O
të		O
huajve		O
në		O
pasuri		O
të		O
paluajtshme		O
në		O
Shqipëri		B-VEND_1
arritën		O
vlerën		O
e		O
95		O
milionë		O
eurove		O
.		O
