TIRANË		B-VEND_0
,		O
23		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Për		O
shkak		O
të		O
fluksit		O
në		O
rritje		O
në		O
prag		O
të		O
festave		O
të		O
fundvitit		O
në		O
të		O
gjitha		O
pikat		O
e		O
kalimit		O
kufitar		O
strukturat		O
doganore		O
do		O
të		O
funksionojnë		O
pa		O
ndërprerje		O
.		O
Drejtori		O
i		O
Përgjithshëm		O
i		O
Doganës		O
,		O
Genti		B-PER
Gazheli		I-PER
,		O
zhvilloi		O
një		O
takim		O
me		O
të		O
gjithë		O
kryetarët		O
e		O
degëve		O
doganore		O
të		O
vendit		O
,		O
ku		O
u		O
njoh		O
nga		O
afër		O
me		O
punën		O
dhe		O
problematikat		O
e		O
këtyre		O
degëve		O
.		O
"		O
Duke		O
qenë		O
se		O
tashmë		O
fluksi		O
i		O
hyrjeve		O
në		O
çdo		O
pikë		O
të		O
kalimit		O
kufitar		O
është		O
rritur		O
për		O
festat		O
e		O
fundvitit		O
të		O
gjitha		O
strukturat		O
doganore		O
do		O
të		O
vijojnë		O
të		O
funksionojnë		O
24		O
orë		O
në		O
7		O
ditë		O
"		O
,		O
deklaroi		O
Gazheli		B-PER
.		O
Gazheli		B-PER
kërkoi		O
përkushtim		O
dhe		O
angazhim		O
të		O
shtuar		O
në		O
realizimin		O
e		O
mbledhjes		O
së		O
të		O
ardhurave		O
,		O
cilësinë		O
e		O
shërbimeve		O
ndaj		O
operatorëve		O
ekonomikë		O
dhe		O
përmirësim		O
të		O
perfomancës		O
të		O
çdo		O
punonjësi		O
të		O
Administratës		B-ORG
Doganore		I-ORG
.		O
