TIRANË		B-VEND_0
,		O
28		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Vlera		O
e		O
investimeve		O
të		O
huaja		O
në		O
degën		O
e		O
aktiviteteve		O
financiare		O
dhe		O
të		O
sigurimit		O
për		O
9-mujorin		O
e		O
këtij		O
viti		O
arriti		O
në		O
166		O
milionë		O
euro		O
.		O
Banka		B-ORG
e		I-ORG
Shqipërisë		I-ORG
bën		O
të		O
ditur		O
se		O
,		O
ky		O
tregues		O
rezulton		O
me		O
rritje		O
80		O
%		O
krahasuar		O
me		O
të		O
njëjtën		O
periudhë		O
të		O
një		O
viti		O
më		O
parë		O
.		O
Kuadri		O
i		O
ri		O
i		O
rregullator		O
,		O
që		O
ka		O
nisur		O
të		O
zbatohet		O
prej		O
vitit		B-DATE_0
2019		I-DATE_0
,		O
ka		O
detyruar		O
bankat		O
të		O
rrisin		O
gradualisht		O
kapitalin		O
aksioner		O
,		O
kryesisht		O
duke		O
kapitalizuar		O
fitimet		O
e		O
akumuluara		O
të		O
aktivitetit		O
,		O
përveçse		O
duke		O
rritur		O
edhe		O
përdorimin		O
e		O
instrumenteve		O
të		O
borxhit		O
që		O
njihen		O
si		O
kapital		O
rregullator		O
.		O
"		O
Procesi		O
i		O
rritjes		O
së		O
kërkesave		O
ligjore		O
për		O
kapital		O
ndaj		O
bankave		O
po		O
luan		O
kështu		O
një		O
rol		O
të		O
ndjeshëm		O
në		O
edhe		O
në		O
rritjen		O
e		O
investimeve		O
të		O
huaja		O
direkte		O
"		O
,		O
thekson		O
BSH-ja		B-ORG
.		O
