TIRANË		B-VEND_0
,		O
29		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Të		O
ardhurat		O
nga		O
primet		O
e		O
shkruara		O
bruto		O
të		O
sigurimit		O
për		O
periudhën		O
janar-nëntor		B-DATE_0
2023		I-DATE_0
kapën		O
vlerën		O
20.5		O
miliardë		O
lekë		O
,		O
ose		O
8.38		O
%		O
më		O
shumë		O
se		O
në		O
periudhën		O
janar-nëntor		B-DATE_0
2022		I-DATE_0
.		O
Sipas		O
raportit		O
të		O
publikuar		O
nga		O
INSTAT		B-ORG
,		O
gjatë		O
periudhës		O
janar-nëntor		B-DATE_0
2023		I-DATE_0
,		O
numri		O
i		O
kontratave		O
të		O
sigurimit		O
të		O
lidhura		O
arriti		O
në		O
1		O
322		O
512		O
me		O
një		O
rritje		O
prej		O
10.84		O
%		O
,		O
krahasuar		O
me		O
të		O
njëjtën		O
periudhë		O
të		O
një		O
viti		O
më		O
parë		O
.		O
Gjatë		O
11-mujorit		O
,		O
dëmet		O
e		O
paguara		O
bruto		O
në		O
tregun		O
e		O
sigurimeve		O
,		O
arritën		O
në		O
rreth		O
6.3		O
miliardë		O
lekë		O
,		O
ose		O
3.22		O
%		O
më		O
shumë		O
se		O
në		O
muajin		O
janar-nëntor		B-DATE_0
2022		I-DATE_0
.		O
Dëmet		O
e		O
paguara		O
bruto		O
në		O
sigurimin		O
e		O
motorik		O
për		O
muajin		O
janar-nëntor		B-DATE_0
2023		I-DATE_0
kapën		O
vlerën		O
4.3		O
miliardë		O
lekë		O
,		O
duke		O
pësuar		O
një		O
rritje		O
me		O
rreth		O
9.93		O
%		O
krahasuar		O
me		O
të		O
njëjtën		O
periudhë		O
të		O
një		O
viti		O
më		O
parë		O
.		O
