TIRANE		B-VEND_0
,		O
23		B-DATE_0
dhjetor		I-DATE_0
/		O
ATSH		O
/		O
Një		O
ditë		O
speciale		O
,		O
me		O
fëmijë		O
specialë		O
ishte		O
aktiviteti		O
i		O
Ministrisë		B-ORG
së		I-ORG
Arsimit		I-ORG
dhe		I-ORG
Sportit		I-ORG
që		O
bëri		O
bashkë		O
superkampionët		O
në		O
sport		O
e		O
në		O
jetë		O
,		O
Luiza		B-PER
Gega		I-PER
,		O
Erkand		B-PER
Qerimaj		I-PER
,		O
Juirdo		B-PER
Cani		I-PER
,		O
Briken		B-PER
Calja		I-PER
,		O
Indrit		B-PER
Çullhaj		I-PER
,		O
Izmir		B-PER
Smajlaj		I-PER
,		O
bashkë		O
me		O
Endrin		B-PER
,		O
Gjergjin		B-PER
,		O
Albanin		B-PER
dhe		O
Deborah		B-PER
me		O
fëmijët		O
me		O
aftësi		O
të		O
veçanta		O
në		O
Institutin		O
e		O
Nxënësve		O
që		O
nuk		O
Dëgjojnë		O
.		O
Pamjet		O
nga		O
kjo		O
festë		O
i		O
përcolli		O
në		O
rrjetet		O
sociale		O
edhe		O
Kryeministri		O
Edi		B-PER
Rama		I-PER
.		O
