03		B-DATE_0
/		I-DATE_0
10		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Kjo		O
është		O
Mila		B-PER
80-vjecarja		O
nga		O
Vanistra		O
e		O
Gjirokastrës		B-VEND_0
,		O
e		O
cila		O
jeton		O
në		O
qytetin		O
bregdetar		O
të		O
Sarandës		B-VEND_0
ku		O
nisi		O
punë		O
si		O
kameriere		O
dhe		O
fitoi		O
e		O
dashuroi		O
këtë		O
profesion		O
,		O
duke		O
iu		O
dhënë		O
e		O
tëra		O
shërbimit		O
tregtar		O
e		O
social		O
të		O
kohës		O
.		O
Ajo		O
na		O
tregon		O
se		O
kafeteri		O
gjen		O
ngado		O
që		O
të		O
ecësh		O
nëpër		O
bregdetin		O
e		O
Sarandës		O
,		O
por		O
jo		O
pak		O
njerëz		O
mendojnë		O
se		O
kafe		O
për		O
merak		O
pihet		O
vetëm		O
tek		O
Mila		B-PER
,		O
e		O
cila		O
prej		O
60		O
vitesh		O
ka		O
ruajtur		O
origjinalitetin		O
e		O
bërjes		O
së		O
kafes		O
.		O
Mila		B-PER
thotë		O
se		O
nuk		O
është		O
thjesht		O
ujë		O
I		O
vluar		O
,		O
kafe		O
e		O
sheqer		O
sipas		O
dëshirës		O
,		O
por		O
përzierje		O
e		O
tyre		O
me		O
mjeshtëri		O
e		O
dashuri		O
.		O
"		O
Më		O
kanë		O
dashur		O
dhe		O
kam		O
dashur		O
tër		O
popullin		O
,		O
i		O
kam		O
shërbyer		O
,		O
kishin		O
nuk		O
kishin		O
unë		O
kam		O
qenë		O
"		O
Nënë		B-PER
Tereza		I-PER
"		O
këtu		O
.		O
Unë		O
e		O
bëj		O
me		O
petro		O
gaze		O
kafenë		O
sepse		O
atje		O
është		O
sekreti		O
duhet		O
të		O
vlojë		O
dhe		O
të		O
ngrihet		O
shkuma		O
.		O
Nuk		O
di		O
në		O
jetën		O
time		O
masa		O
"		O
,		O
thotë		O
Mila		B-PER
.		O
Mila		B-PER
shprehet		O
se		O
lokali		O
i		O
saj		O
është		O
një		O
nga		O
më		O
të		O
preferuarit		O
e		O
vendasve		O
dhe		O
kryesisht		O
turistëve		O
të		O
huaj		O
nga		O
e		O
gjithë		O
bota		O
,		O
të		O
cilët		O
rikthehen		O
sërish		O
për		O
të		O
provuar		O
edhe		O
njëherë		O
shijen		O
e		O
kafes		O
nga		O
duart		O
e		O
saj		O
.		O
"		O
Kafe		O
turke		O
,		O
kafe		O
albania		O
dhe		O
unë		O
u		O
bëj		O
kafe		O
me		O
shkumë		O
dhe		O
kënaqen		O
kanë		O
pirë		O
edhe		O
2-3		O
kafe		O
njëra		O
pas		O
tjetrës		O
"		O
,		O
thotë		O
Mila		B-PER
.		O
Ajo		O
ka		O
një		O
mesazh		O
për		O
të		O
rinjtë		O
që		O
duan		O
të		O
dallojnë		O
si		O
profesionistë		O
,		O
por		O
kryesisht		O
edhe		O
për		O
djalin		O
e		O
saj		O
Orestin		B-PER
të		O
cilit		O
dëshiron		O
që		O
t'ia		O
lej		O
trashëgimi		O
këtë		O
profesion		O
të		O
saj		O
.		O
Përveç		O
dashurisë		O
për		O
kafen		O
Mila		B-PER
ka		O
një		O
marrëdhënie		O
të		O
ngushtë		O
dhe		O
të		O
përjetshme		O
edhe		O
me		O
detin		O
e		O
gjallesat		O
,		O
duke		O
u		O
quajtur		O
si		O
gruaja		O
e		O
pulëbardhave		O
.		O
Tani		O
në		O
tetor		O
ajo		O
del		O
e		O
i		O
pret		O
në		O
shtegtimin		O
e		O
fluturimin		O
e		O
tyre		O
mbi		O
Jon		O
.		O
Gazetare		O
L		B-PER
.		O
Fili		I-PER
