01		B-DATE_0
/		I-DATE_0
10		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Të		O
plakesh		O
bukur		O
dhe		O
me		O
dinjitet		O
sot		O
është		O
sfida		O
me		O
e		O
madhe		O
e		O
çdo		O
kombi		O
,		O
por		O
në		O
Shqipëri		B-VEND_1
ky		O
duket		O
mision		O
i		O
pamundur		O
për		O
pjesën		O
më		O
të		O
madhe		O
të		O
të		O
moshuarve		O
.		O
"		O
Problemi		O
i		O
parë		O
është		O
varfëria		O
.		O
65		O
%		O
e		O
tëmoshuarve		O
marrin		O
pension		O
minimal		O
,		O
që		O
varion		O
nga		O
8		O
mijë		O
deri		O
në		O
25		O
mijë		O
lekë		O
.		O
Ata		O
kanë		O
nevojë		O
për		O
financime		O
për		O
të		O
dalë		O
nga		O
mbijetesa		O
.		O
Tëmoshuarit		O
kanë		O
nevojë		O
për		O
t'i		O
shoqërizuar		O
,		O
për		O
t'i		O
afruar		O
me		O
.		O
Sot		O
kemi		O
92		O
mijë		O
të		O
moshuar		O
të		O
vetmuar		O
të		O
cilët		O
edhe		O
po		O
të		O
kenë		O
para		O
,		O
nuk		O
kanë		O
një		O
njeri		O
për		O
t'u		O
blerë		O
ilaçet		O
.		O
8		O
%		O
e		O
tyre		O
nuk		O
takojnë		O
asnjë		O
njeri		O
gjatë		O
një		O
jave		O
,		O
"		O
thotë		O
Faik		B-PER
Xhani		I-PER
nga		O
shoqata		O
"		O
Bashkimi		O
i		O
Përgjithshëm		O
i		O
Pensionistëve		O
të		O
Shqipërisë		B-VEND_1
"		O
.		O
"		O
5		O
%		O
e		O
670		O
mijë		O
pensionistëve		O
në		O
vendin		O
tonë		O
janë		O
me		O
regjim		O
shtrati		O
,		O
që		O
kanë		O
nevojë		O
për		O
përkujdesje		O
,		O
"		O
shton		O
z		O
.		O
Xhani		B-PER
.		O
INSTAT		B-ORG
tregon		O
me		O
shifra		O
se		O
Shqipëria		B-VEND_1
po		O
plaket		O
për		O
shkak		O
të		O
lindjeve		O
të		O
pakta		O
dhe		O
emigrimit		O
të		O
moshës		O
aktive		O
për		O
punë		O
,		O
ndaj		O
kërkohen		O
edhe		O
ndërhyrje		O
emergjente		O
.		O
Gazetare		O
:		O
Sonila		B-PER
Mlloja		I-PER
