Tirana		B-VEND_0
mikpret		O
50		O
kompani		O
në		O
fushën		O
e		O
shëndetit		O
,		O
ekzaminime		O
dhe		O
konsulta		O
falas		O
për		O
qytetarët		O
në		O
sheshin		B-SHESH
"		O
Skënderbej		I-SHESH
"		O
07		B-DATE_0
/		I-DATE_0
09		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Për		O
herë		O
të		O
parë		O
50		O
kompani		O
që		O
ofrojnë		O
shërbime		O
në		O
fusha		O
si		O
farmaceutike		O
,		O
dentistri		O
,		O
shërbim		O
klinik		O
dhe		O
spitalor		O
,		O
dermokozmetike		O
,		O
estetike		O
,		O
dietologji		O
,		O
fitness		O
,		O
suplemente		O
do		O
të		O
bëhen		O
bashkë		O
më		O
9		O
dhe		O
10		B-DATE_0
Shtator		I-DATE_0
në		O
sheshin		B-SHESH
"		O
Skënderbej		I-SHESH
"		O
.		O
