22		B-DATE_0
/		I-DATE_0
11		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Operatorët		O
turistikë		O
në		O
Fier		B-VEND_0
thonë		O
se		O
gati		O
20-30		O
%		O
e		O
familjeve		O
mendojnë		O
të		O
kalojnë		O
festat		O
jashtë		O
vendit		O
ku		O
destinacionet		O
me		O
të		O
kërkuara		O
janë		O
Italia		B-VEND_1
dhe		O
vendet		O
e		O
tjera		O
europiane		O
ku		O
jetojnë		O
familjarët		O
e		O
tyre		O
.		O
Përveç		O
vendeve		O
fqinje		O
të		O
lakmuara		O
për		O
netët		O
festive		O
janë		O
edhe		O
vendet		O
më		O
të		O
largëta		O
,		O
por		O
të		O
ngrohta		O
në		O
dimër		O
si		O
Dubai		B-VEND_0
apo		O
Karaibet		O
.		O
Një		O
ndikim		O
në		O
rritjen		O
e		O
kërkesave		O
për		O
prenotimin		O
e		O
fluturimeve		O
jashtë		O
vendit		O
për		O
festat		O
e		O
fundvitit		O
,		O
kanë		O
qenë		O
çmimet		O
e		O
ulëta		O
të		O
biletave		O
përmes		O
linjave		O
të		O
udhëtimit		O
low		O
cost		O
.		O
