07		B-DATE_0
/		I-DATE_0
08		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Sëmundjet		O
që		O
lidhen		O
me		O
shëndetin		O
mendor		O
vijojnë		O
me		O
trend		O
rritës		O
edhe		O
këtë		O
sezon		O
.		O
Duke		O
iu		O
referuar		O
të		O
dhënave		O
të		O
shprehura		O
nga		O
mjekja		O
psikiatre		O
në		O
Poliklinikën		O
Fier		B-VEND_0
,		O
Ina		B-PER
Prifti		I-PER
numri		O
i		O
urgjencave		O
në		O
një		O
muaj		O
është		O
rritur		O
nga		O
90		O
deri		O
në		O
300		O
persona		O
.		O
Gazetare		O
:		O
Megi		B-PER
Mëhilli		I-PER
