31		B-DATE_0
/		I-DATE_0
10		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Rritja		O
e		O
paprecedent		O
e		O
çmimit		O
të		O
bukës		O
duket		O
se		O
deri		O
tani		O
nuk		O
shqetësonte		O
asnjë		O
institucion		O
në		O
Shqipëri		B-VEND_1
.		O
Televizioni		O
Shqiptar		O
ka		O
ndjekur		O
,		O
në		O
veçanti		O
,		O
rritjen		O
e		O
çmimit		O
të		O
bukës		O
dhe		O
ka		O
hetuar		O
faktorët		O
që		O
kanë		O
sjellë		O
këtë		O
rritje		O
të		O
çmimit		O
.		O
Nga		O
disa		O
operatorë		O
në		O
treg		O
ka		O
pasur		O
rritje		O
të		O
çmimit		O
të		O
bukës		O
për		O
shkak		O
të		O
shtrenjtimit		O
të		O
çmimit		O
të		O
miellit		O
,		O
rritjes		O
së		O
çmimit		O
të		O
vajit		O
,		O
margarinës		O
etj		O
.		O
Por		O
,		O
ndërsa		O
kishte		O
abuzim		O
në		O
masën		O
e		O
rritjes		O
së		O
çmimeve		O
të		O
produkteve		O
të		O
bukës		O
,		O
dukuria		O
e		O
vjedhjes		O
së		O
konsumatorit		O
shqiptar		O
shfaqej		O
në		O
peshën		O
e		O
bukës		O
.		O
Më		O
e		O
rëndë		O
është		O
kjo		O
situtatë		O
sa		O
i		O
përket		O
kontrollit		O
të		O
produktit		O
të		O
gatshëm		O
në		O
treg		O
nga		O
Inspektorati		O
i		O
Mbikqyrjes		O
së		O
Tregut		O
në		O
varësi		O
të		O
Ministrisë		B-ORG
së		I-ORG
Financave		I-ORG
,		O
që		O
nuk		O
kishte		O
kontrolluar		O
dhe		O
nuk		O
kontrollonte		O
kurrë		O
peshën		O
e		O
bukës		O
në		O
treg		O
!		O
Rezultati		O
është		O
ky		O
që		O
hasin		O
qytetarët		O
në		O
furrat		O
e		O
bukës		O
:		O
rritje		O
çmimi		O
,		O
peshë		O
e		O
munguar		O
dhe		O
përfitim		O
abuziv		O
nga		O
një		O
numër		O
i		O
caktuar		O
operatorësh		O
në		O
treg		O
.		O
Kjo		O
duket		O
se		O
do		O
të		O
marrë		O
fund		O
!		O
Gazetar		O
Bardhi		B-PER
Sejdarasi		I-PER
