23		B-DATE_0
/		I-DATE_0
08		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Një		O
nga		O
destinacionet		O
turistike		O
mjaft		O
të		O
pëlqyera		O
në		O
Lezhë		B-VEND_0
është		O
dhe		O
laguna		O
e		O
Kune-Vainit		O
.		O
"		O
Unë		O
vij		O
këtu		O
sa		O
herë		O
që		O
vij		O
në		O
Shqipëri		B-VEND_1
.		O
Këtu		O
ka		O
qetësi		O
dhe		O
pamje		O
shumë		O
të		O
bukur		O
"		O
,		O
u		O
shpreh		O
një		O
vizitor		O
.		O
Sipas		O
të		O
dhënave		O
zyrtare		O
nga		O
Administrata		O
e		O
Zonave		O
të		O
Mbrojtura		O
në		O
Lezhë		B-VEND_0
,		O
nga		O
Janari		O
deri		O
në		O
muajin		O
korrik		O
të		O
këtij		O
viti		O
,		O
Kune-Vaini		O
është		O
vizituar		O
nga		O
21		O
696		O
persona		O
,		O
2		O
069		O
prej		O
të		O
cilëve		O
shtetas		O
të		O
huaj		O
nga		O
Gjermania		B-VEND_1
,		O
Zvicra		B-VEND_1
,		O
Holanda		B-VEND_1
,		O
Serbia		B-VEND_1
,		O
Franca		B-VEND_1
,		O
Italia		B-VEND_1
,		O
Spanja		B-VEND_1
,		O
Polonia		B-VEND_1
,		O
Kina		B-VEND_1
dhe		O
Çekia		B-VEND_1
.		O
Gazetare		O
:		O
Megi		B-PER
Mëhilli		I-PER
