12		B-DATE_0
/		I-DATE_0
01		I-DATE_0
/		I-DATE_0
2024		I-DATE_0
Në		O
fillim		O
të		O
muajit		O
shkurt		O
në		O
Universitetin		O
"		O
Fan		O
Noli		O
"		O
në		O
Korçë		B-VEND_0
,		O
do		O
të		O
nisë		O
programi		O
i		O
studimit		O
të		O
formimit		O
të		O
vazhduar		O
.		O
Artur		B-PER
Prifti		I-PER
Drejtor		O
i		O
Kurrikulave		O
dhe		O
Vlerësimit		O
Institucional		O
,		O
tha		O
se		O
programi		O
i		O
studimit		O
të		O
formimit		O
të		O
vazhduar		O
në		O
fushën		O
psiko-pedagogjike		O
organizohet		O
me		O
35		O
kredite		O
dhe		O
me		O
kohëzgajtje		O
normale		O
një		O
semestër		O
.		O
Gazetare		O
Heriselda		B-PER
Dyrmishi		I-PER
