16		B-DATE_0
/		I-DATE_0
09		I-DATE_0
/		I-DATE_0
2023		I-DATE_0
Iljaz		B-PER
Mersini		I-PER
është		O
një		O
81-vjeçar		O
nga		O
krahina		O
e		O
Lunxhërisë		O
me		O
pasion		O
të		O
madh		O
për		O
punën		O
dhe		O
kujdesin		O
e		O
vreshtave		O
.		O
Edhe		O
sot		O
ai		O
ka		O
të		O
njëjtën		O
dashuri		O
për		O
punën		O
si		O
kur		O
ishte		O
student		O
agronomie		O
.		O
Iljaz		B-PER
Mersini		I-PER
ka		O
një		O
jetë		O
që		O
merret		O
me		O
kultivimin		O
e		O
vreshtarisë		O
.		O
81-vjeçari		O
nga		O
fshati		O
Karjan		O
i		O
krahinës		O
së		O
Lunxhërisë		O
na		O
flet		O
me		O
pasion		O
të		O
madh		O
për		O
punën		O
dhe		O
kujdesin		O
e		O
vazhdueshëm		O
për		O
vreshtat		O
e		O
mbjella		O
.		O
Duket		O
qartazi		O
që		O
Iljazi		B-PER
nuk		O
njeh		O
moshë		O
.		O
Mersini		B-PER
na		O
flet		O
me		O
keqardhje		O
të		O
madhe		O
për		O
mungesën		O
e		O
një		O
tregu		O
të		O
sigurt		O
të		O
rrushit		O
dhe		O
produkteve		O
të		O
tij		O
.		O
12		O
kuintal		O
raki		O
nxori		O
para		O
7		O
vitesh		O
,		O
i		O
ka		O
akoma		O
të		O
pa		O
shitur		O
.		O
Gazetare		O
:		O
Megi		B-PER
Mëhilli		I-PER
